,open time,open,high,low,close,volume,close time,quote_asset_volume,number of trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused field
0,1627443000000,312.45,315.69,311.98,312.05,148.91,1627444799999,46575.4328,224,84.6,26473.8323,0
1,1627444800000,312.05,313.0,311.0,311.79,134.85,1627446599999,42036.0506,291,51.01,15906.1833,0
2,1627446600000,311.69,312.06,311.49,311.68,87.17,1627448399999,27186.6204,130,78.95,24623.9594,0
3,1627448400000,311.7,327.82,303.32,313.22,833.24,1627450199999,262841.2645,441,421.3,133394.9405,0
4,1627450200000,312.8,314.12,312.42,313.91,100.65,1627451999999,31543.0066,142,80.32,25175.2819,0
5,1627452000000,313.5,313.5,311.09,311.09,115.85,1627453799999,36175.439,185,74.21,23177.9627,0
6,1627453800000,311.23,311.86,308.7,309.56,137.94,1627455599999,42792.613,234,78.52,24366.3121,0
7,1627455600000,309.57,311.97,309.57,311.8,132.52,1627457399999,41188.5868,156,49.45,15352.719,0
8,1627457400000,311.77,315.44,310.5,314.2,171.53,1627459199999,53818.0899,414,62.04,19492.2995,0
9,1627459200000,314.38,316.9,313.6,314.76,232.57,1627460999999,73363.5705,478,129.82,40984.4324,0
10,1627461000000,314.91,314.91,311.8,312.6,201.74,1627462799999,63140.3199,410,108.96,34101.4256,0
11,1627462800000,312.7,314.84,311.9,314.19,292.42,1627464599999,91657.8629,397,137.76,43213.9868,0
12,1627464600000,314.16,316.53,313.72,316.49,306.6,1627466399999,96487.6294,526,159.6,50252.6388,0
13,1627466400000,316.6,318.12,315.2,316.68,310.06,1627468199999,98230.9256,1067,144.32,45726.1963,0
14,1627468200000,316.74,316.74,315.11,315.62,202.13,1627469999999,63870.9649,416,115.0,36351.7841,0
15,1627470000000,315.45,317.72,315.15,317.38,138.91,1627471799999,43907.0664,344,91.73,28993.8945,0
16,1627471800000,317.37,318.76,316.63,316.92,209.49,1627473599999,66473.9863,614,47.28,15010.1395,0
17,1627473600000,317.03,317.44,315.13,316.1,209.39,1627475399999,66210.756,448,73.55,23273.3546,0
18,1627475400000,316.11,316.12,311.71,311.94,264.08,1627477199999,82754.5711,748,88.13,27603.0132,0
19,1627477200000,311.93,315.7,311.76,313.05,930.6,1627478999999,291980.3082,901,461.16,144825.2305,0
20,1627479000000,313.01,313.67,311.69,312.94,433.06,1627480799999,135379.3426,695,268.37,83901.6815,0
21,1627480800000,312.98,313.9,312.2,313.23,310.22,1627482599999,97208.2985,382,104.47,32739.0864,0
22,1627482600000,313.23,313.5,311.99,313.36,166.66,1627484399999,52115.8821,387,39.89,12476.7053,0
23,1627484400000,313.36,313.5,312.7,312.98,179.91,1627486199999,56342.7435,323,48.44,15172.8495,0
24,1627486200000,313.0,314.64,311.8,313.72,525.2,1627487999999,164475.3618,642,110.06,34519.4953,0
25,1627488000000,313.7,315.05,312.76,314.72,1011.85,1627489799999,317867.5514,621,495.4,155741.298,0
26,1627489800000,314.63,315.89,314.28,315.7,355.08,1627491599999,111898.2161,300,167.72,52867.9714,0
27,1627491600000,315.7,316.38,312.94,313.21,533.24,1627493399999,167738.9063,392,170.08,53641.2544,0
28,1627493400000,313.28,313.97,308.39,309.16,589.0,1627495199999,183150.4544,635,122.03,37921.7056,0
29,1627495200000,308.85,313.0,307.29,312.09,281.69,1627496999999,87573.096,463,69.2,21535.4124,0
30,1627497000000,312.07,317.1,311.09,315.74,546.92,1627498799999,172403.5181,778,274.7,86628.0717,0
31,1627498800000,315.82,316.8,313.4,314.2,239.34,1627500599999,75481.0301,469,120.14,37902.1252,0
32,1627500600000,314.22,315.4,313.7,314.16,282.21,1627502399999,88746.5274,392,135.41,42597.6142,0
33,1627502400000,314.15,314.15,312.14,312.38,323.43,1627504199999,101250.8742,465,131.21,41081.7457,0
34,1627504200000,312.27,313.24,311.5,312.1,773.61,1627505999999,241871.2525,336,476.83,149106.7137,0
35,1627506000000,312.07,312.65,311.29,311.67,162.94,1627507799999,50809.7065,306,86.18,26883.3488,0
36,1627507800000,311.72,313.24,311.56,312.41,103.83,1627509599999,32457.9882,198,46.87,14655.6451,0
37,1627509600000,312.34,314.47,312.01,314.08,249.93,1627511399999,78433.0595,309,103.52,32473.2051,0
38,1627511400000,314.14,314.2,311.59,312.41,274.34,1627513199999,85790.362,428,89.64,28036.1535,0
39,1627513200000,312.34,314.12,311.54,312.8,413.22,1627514999999,129270.0831,510,140.59,43956.4955,0
40,1627515000000,312.8,313.6,311.31,313.51,245.68,1627516799999,76824.6782,364,89.38,27956.0623,0
41,1627516800000,313.48,313.72,310.0,310.79,343.31,1627518599999,106950.1282,670,123.97,38655.4741,0
42,1627518600000,310.79,311.0,309.4,309.41,205.83,1627520399999,63895.7861,393,143.23,44470.0123,0
43,1627520400000,309.38,311.61,308.11,309.36,275.9,1627522199999,85453.6102,498,186.79,57885.8717,0
44,1627522200000,309.37,311.43,309.15,311.0,251.17,1627523999999,77992.0702,362,202.89,63032.3109,0
45,1627524000000,310.95,313.34,310.89,313.21,465.6,1627525799999,145525.9183,342,234.28,73196.3193,0
46,1627525800000,313.14,313.8,312.02,312.02,292.35,1627527599999,91503.5228,308,180.38,56489.3607,0
47,1627527600000,312.14,312.74,310.0,310.09,154.39,1627529399999,48085.2896,297,64.34,20054.8023,0
48,1627529400000,310.03,311.15,309.83,310.13,236.72,1627531199999,73482.2207,305,150.86,46837.8689,0
49,1627531200000,310.1,313.08,309.24,312.81,384.28,1627532999999,119505.8596,559,219.43,68341.2693,0
50,1627533000000,312.88,315.6,312.61,314.18,404.35,1627534799999,127038.8564,698,293.6,92222.3066,0
51,1627534800000,314.18,314.54,312.3,312.67,282.08,1627536599999,88368.5304,255,163.41,51214.9714,0
52,1627536600000,312.61,315.59,312.57,314.49,339.42,1627538399999,106733.7571,374,206.24,64848.1525,0
53,1627538400000,314.48,315.16,313.96,314.22,238.39,1627540199999,74957.7637,272,90.17,28361.9634,0
54,1627540200000,314.23,314.72,313.9,314.08,122.77,1627541999999,38593.7694,173,8.97,2821.3567,0
55,1627542000000,314.13,314.39,313.42,314.08,140.36,1627543799999,44059.3615,219,13.4,4207.5076,0
56,1627543800000,314.04,314.22,312.71,313.08,431.39,1627545599999,135323.4344,277,80.05,25116.5627,0
57,1627545600000,313.11,313.5,311.9,312.41,261.94,1627547399999,81861.5516,344,160.42,50144.3887,0
58,1627547400000,312.44,314.44,311.96,312.72,318.31,1627549199999,99636.9415,363,173.08,54133.6457,0
59,1627549200000,312.81,314.89,312.7,314.56,399.41,1627550999999,125566.6867,517,165.55,52028.9006,0
60,1627551000000,314.56,315.96,314.5,315.65,937.19,1627552799999,295630.439,658,280.56,88553.0554,0
61,1627552800000,315.69,315.99,314.2,315.12,189.94,1627554599999,59818.3216,564,124.62,39255.6357,0
62,1627554600000,315.12,315.4,313.6,314.6,259.13,1627556399999,81478.8214,686,135.86,42738.6228,0
63,1627556400000,314.49,315.04,314.1,314.5,147.71,1627558199999,46465.4658,519,82.16,25849.9527,0
64,1627558200000,314.52,314.54,310.4,311.24,527.22,1627559999999,164760.1096,881,142.53,44543.1759,0
65,1627560000000,311.26,313.16,310.4,312.95,397.33,1627561799999,123747.2486,784,174.21,54330.7362,0
66,1627561800000,313.08,313.39,312.0,313.29,241.55,1627563599999,75556.1361,536,80.86,25298.8005,0
67,1627563600000,313.28,314.79,312.7,314.02,232.84,1627565399999,73086.0677,464,114.65,36010.052,0
68,1627565400000,314.01,314.91,314.0,314.58,517.21,1627567199999,162722.8993,395,275.47,86664.9226,0
69,1627567200000,314.58,314.65,311.81,313.17,497.62,1627568999999,155890.8229,612,88.68,27806.9922,0
70,1627569000000,313.26,315.0,312.77,314.53,478.09,1627570799999,150212.209,958,236.03,74147.4464,0
71,1627570800000,314.56,314.95,313.25,314.69,269.64,1627572599999,84753.4897,704,114.9,36134.6532,0
72,1627572600000,314.68,314.7,313.72,314.01,151.82,1627574399999,47694.3358,457,75.29,23652.2487,0
73,1627574400000,314.02,315.28,313.67,314.48,261.47,1627576199999,82199.3628,814,96.23,30261.3859,0
74,1627576200000,314.48,314.87,313.72,314.26,224.82,1627577999999,70684.1545,673,80.59,25342.2765,0
75,1627578000000,314.24,314.9,313.91,314.21,116.79,1627579799999,36731.6055,601,64.62,20331.3465,0
76,1627579800000,314.21,315.47,314.04,314.08,153.47,1627581599999,48284.5944,783,62.7,19737.7998,0
77,1627581600000,314.08,314.2,312.76,313.08,266.8,1627583399999,83689.7153,784,116.81,36657.0974,0
78,1627583400000,313.06,313.22,312.53,312.76,323.01,1627585199999,101077.2803,522,135.45,42387.5775,0
79,1627585200000,312.73,313.49,312.21,312.4,195.54,1627586999999,61160.7246,673,101.54,31761.1886,0
80,1627587000000,312.32,313.53,312.31,313.17,107.53,1627588799999,33635.9658,451,99.34,31071.213,0
81,1627588800000,313.14,314.3,312.77,313.8,239.71,1627590599999,75211.5012,768,145.19,45563.1135,0
82,1627590600000,313.79,314.59,313.79,314.44,360.12,1627592399999,113165.1074,691,80.67,25350.8509,0
83,1627592400000,314.42,314.66,313.31,313.41,133.9,1627594199999,42047.5735,745,28.44,8939.1953,0
84,1627594200000,313.41,313.72,312.95,312.95,137.76,1627595999999,43156.2984,670,41.37,12963.5317,0
85,1627596000000,312.98,314.13,312.67,313.65,203.91,1627597799999,63917.4691,841,67.82,21272.074,0
86,1627597800000,313.63,314.47,313.63,314.4,176.83,1627599599999,55554.3531,531,58.08,18241.8173,0
87,1627599600000,314.38,319.11,314.23,319.11,422.49,1627601399999,133923.9626,972,326.7,103593.2702,0
88,1627601400000,319.11,320.38,316.27,316.8,968.25,1627603199999,307298.8098,994,601.14,190774.7709,0
89,1627603200000,316.83,317.85,314.9,316.72,735.37,1627604999999,232448.3758,1092,524.14,165669.7661,0
90,1627605000000,316.7,317.46,315.5,316.59,216.2,1627606799999,68417.8877,758,60.85,19250.8148,0
91,1627606800000,316.61,319.8,316.14,318.78,367.86,1627608599999,117096.8986,799,241.94,76977.1078,0
92,1627608600000,318.78,323.21,318.52,323.09,418.08,1627610399999,134109.9225,804,203.36,65233.4417,0
93,1627610400000,323.08,325.56,322.22,322.75,1266.28,1627612199999,410107.9987,1105,567.87,184248.465,0
94,1627612200000,322.75,322.95,321.46,321.54,404.21,1627613999999,130380.5262,522,283.45,91465.8735,0
95,1627614000000,321.6,323.21,321.6,322.99,223.58,1627615799999,72120.256,659,124.37,40123.7078,0
96,1627615800000,322.99,323.01,321.54,321.74,300.34,1627617599999,96725.0195,531,50.1,16144.7485,0
97,1627617600000,321.79,322.17,320.32,321.27,164.27,1627619399999,52791.685,346,57.9,18610.2978,0
98,1627619400000,321.27,321.38,319.86,321.3,251.45,1627621199999,80637.0998,693,165.28,53001.2887,0
99,1627621200000,321.26,321.52,319.59,319.86,315.48,1627622999999,101161.6406,590,90.72,29139.1398,0
100,1627623000000,319.87,320.61,319.38,319.76,181.57,1627624799999,58093.8406,618,45.22,14476.8219,0
101,1627624800000,319.77,319.78,318.27,319.38,926.32,1627626599999,295447.2154,605,84.09,26820.3923,0
102,1627626600000,319.44,319.57,318.72,319.57,135.64,1627628399999,43292.0614,427,88.13,28129.8346,0
103,1627628400000,319.57,319.72,318.41,319.19,202.36,1627630199999,64591.4951,503,72.59,23176.5907,0
104,1627630200000,319.2,319.35,318.61,318.89,254.0,1627631999999,81017.1335,452,53.08,16933.355,0
105,1627632000000,318.9,318.92,317.14,317.89,278.49,1627633799999,88584.8612,545,129.08,41059.8237,0
106,1627633800000,317.8,317.87,308.15,311.61,1701.43,1627635599999,532440.1364,2281,613.88,193142.8976,0
107,1627635600000,311.5,312.59,306.01,307.26,1384.39,1627637399999,428288.9656,1686,659.89,204520.3482,0
108,1627637400000,307.27,309.86,307.27,309.54,846.24,1627639199999,261300.9126,885,539.71,166650.379,0
109,1627639200000,309.42,309.42,306.83,308.87,644.59,1627640999999,198701.9711,684,166.85,51449.7886,0
110,1627641000000,308.93,310.5,308.63,310.21,453.96,1627642799999,140607.4752,410,135.2,41884.2129,0
111,1627642800000,310.2,310.2,309.15,309.83,166.29,1627644599999,51490.8155,333,72.92,22579.0069,0
112,1627644600000,309.85,310.47,308.25,309.35,324.01,1627646399999,100230.3612,577,77.08,23850.8491,0
113,1627646400000,309.32,309.63,307.76,309.43,467.77,1627648199999,144464.83,468,127.3,39344.6334,0
114,1627648200000,309.47,309.55,308.19,308.21,228.3,1627649999999,70540.66,494,76.0,23498.8459,0
115,1627650000000,308.26,309.48,308.16,309.45,441.65,1627651799999,136332.9484,480,263.39,81327.7088,0
116,1627651800000,309.44,310.18,308.97,309.14,502.93,1627653599999,155622.3697,372,264.94,82001.4727,0
117,1627653600000,309.07,311.3,308.87,310.18,292.01,1627655399999,90622.9355,486,156.18,48482.8663,0
118,1627655400000,310.37,310.67,309.79,310.61,437.88,1627657199999,135783.1879,386,153.9,47741.3344,0
119,1627657200000,310.64,310.8,309.69,310.42,525.84,1627658999999,162998.5165,518,94.34,29277.5142,0
120,1627659000000,310.46,311.72,310.46,311.51,224.23,1627660799999,69766.7166,374,92.54,28803.068,0
121,1627660800000,311.48,311.83,310.15,310.95,482.91,1627662599999,150145.3267,573,326.15,101403.8406,0
122,1627662600000,310.97,311.79,310.81,310.88,204.42,1627664399999,63627.7672,431,97.81,30449.6069,0
123,1627664400000,311.03,311.97,310.97,311.62,164.14,1627666199999,51144.167,324,100.83,31422.3483,0
124,1627666200000,311.61,312.12,311.22,312.12,126.81,1627667999999,39522.5782,343,80.94,25233.2397,0
125,1627668000000,312.1,312.36,311.0,311.82,834.02,1627669799999,260168.3278,549,612.24,190990.6721,0
126,1627669800000,311.88,312.09,311.58,311.6,438.95,1627671599999,136818.9387,176,66.2,20646.6966,0
127,1627671600000,311.72,313.5,311.64,312.88,494.09,1627673399999,154602.4613,589,439.17,137461.7868,0
128,1627673400000,313.02,314.25,311.88,314.25,600.6,1627675199999,187694.1606,693,377.76,118071.227,0
129,1627675200000,314.26,315.86,313.96,315.73,713.97,1627676999999,224915.443,486,202.46,63763.4196,0
