,open time,open,high,low,close,volume,close time,quote_asset_volume,number of trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused field
0,1627430400000,312.45,315.69,311.98,312.05,148.91,1627444799999,46575.4328,224,84.6,26473.8323,0
1,1627444800000,312.05,327.82,303.32,314.2,1713.75,1627459199999,537581.6708,1993,895.8,281489.6584,0
2,1627459200000,314.38,318.76,311.8,316.92,1893.92,1627473599999,597132.3259,4252,934.47,294634.498,0
3,1627473600000,317.03,317.44,311.69,313.72,3019.12,1627487999999,946467.2638,4526,1194.07,374511.4163,0
4,1627488000000,313.7,317.1,307.29,314.16,3839.33,1627502399999,1204859.2998,4050,1554.68,488835.4529,0
5,1627502400000,314.15,314.47,311.29,313.51,2546.98,1627516799999,796708.0042,2916,1164.22,364149.3697,0
6,1627516800000,313.48,313.8,308.11,310.13,2225.27,1627531199999,692888.5461,3175,1286.74,400622.0202,0
7,1627531200000,310.1,315.6,309.24,313.08,2343.04,1627545599999,734581.3325,2827,1075.27,337134.0902,0
8,1627545600000,313.11,315.99,310.4,311.24,3040.85,1627559999999,955218.3372,4532,1264.78,397247.3775,0
9,1627560000000,311.26,315.0,310.4,314.01,2786.1,1627574399999,873663.2091,4910,1160.09,364045.8518,0
10,1627574400000,314.02,315.47,312.21,313.17,1649.43,1627588799999,517463.4032,5301,757.28,237549.8852,0
11,1627588800000,313.14,320.38,312.67,316.8,2642.97,1627603199999,834275.0751,6212,1349.41,426698.6238,0
12,1627603200000,316.83,325.56,314.9,321.74,3931.92,1627617599999,1261406.885,6270,2056.08,659113.9252,0
13,1627617600000,321.79,322.17,318.27,318.89,2431.09,1627631999999,777032.1714,4234,657.01,210287.7208,0
14,1627632000000,318.9,318.92,306.01,309.35,5799.4,1627646399999,1801645.4988,7401,2394.61,745137.306,0
15,1627646400000,309.32,311.72,307.76,311.51,3120.61,1627660799999,966132.1646,3578,1228.59,380477.4437,0
16,1627660800000,311.48,314.25,310.15,314.25,3345.94,1627675199999,1043723.7275,3678,2101.1,655679.418,0
17,1627675200000,314.26,322.84,313.96,322.32,4001.54,1627689599999,1274226.7329,5332,1841.99,587910.2355,0
18,1627689600000,322.5,324.22,320.42,322.78,2032.88,1627703999999,655473.4274,4547,1034.01,333595.5449,0
19,1627704000000,322.8,323.36,317.5,320.12,2065.02,1627718399999,660529.8509,3805,1010.1,323016.3778,0
20,1627718400000,320.1,337.59,319.87,331.76,5846.38,1627732799999,1929257.5359,7513,3547.01,1171240.1302,0
21,1627732800000,331.74,332.47,326.37,329.26,3403.81,1627747199999,1122037.0843,5088,1395.04,460082.0696,0
22,1627747200000,329.4,332.31,326.49,330.89,3280.76,1627761599999,1082572.9601,5301,1676.68,553446.1923,0
23,1627761600000,330.85,338.46,329.63,332.08,6218.17,1627775999999,2082369.9099,6606,2933.1,983104.5925,0
24,1627776000000,332.08,347.93,330.7,346.6,4352.61,1627790399999,1477692.506,7377,2342.29,794940.2999,0
25,1627790400000,346.73,347.43,340.48,341.5,4840.39,1627804799999,1662919.0763,6135,2603.79,894806.5619,0
26,1627804800000,341.58,344.69,337.0,339.99,4041.13,1627819199999,1378516.3592,6035,2107.23,718837.2829,0
27,1627819200000,340.03,342.2,337.3,338.75,5174.38,1627833599999,1757437.1593,6938,2277.37,773819.968,0
28,1627833600000,338.75,340.61,332.04,339.3,7244.97,1627847999999,2435597.0373,9430,3098.96,1042022.7108,0
29,1627848000000,339.36,344.09,328.6,332.6,5880.51,1627862399999,1983618.2346,7647,2280.73,769119.1973,0
30,1627862400000,332.52,334.63,326.4,329.97,6294.1,1627876799999,2074321.7844,5411,2425.88,799304.927,0
31,1627876800000,330.07,338.11,328.66,336.09,5106.7,1627891199999,1701001.6817,4709,2372.7,791435.2431,0
32,1627891200000,336.24,336.61,330.06,332.58,4737.9,1627905599999,1577972.4287,5412,1839.61,612539.733,0
33,1627905600000,332.62,335.59,327.3,334.24,8206.7,1627919999999,2721760.3045,7998,4098.97,1359343.9121,0
34,1627920000000,334.25,336.94,330.32,331.4,3912.05,1627934399999,1307280.1249,8000,1821.78,609181.6885,0
35,1627934400000,331.43,333.4,328.01,330.6,4300.89,1627948799999,1421407.4992,8406,1901.75,628343.3322,0
36,1627948800000,330.5,334.45,325.0,326.14,6899.06,1627963199999,2268615.7097,9533,2768.16,910947.5258,0
37,1627963200000,326.14,327.83,317.76,323.0,7364.97,1627977599999,2372867.0078,6788,3278.93,1056020.5651,0
38,1627977600000,323.01,324.32,321.0,321.12,4242.95,1627991999999,1368496.6809,5158,1999.26,644848.6056,0
39,1627992000000,321.22,324.5,317.1,321.15,5206.87,1628006399999,1673802.9276,5321,2506.41,806004.1876,0
40,1628006400000,321.08,323.8,319.4,321.23,3193.23,1628020799999,1027147.9834,4618,1870.41,601443.424,0
41,1628020800000,321.26,324.73,319.82,323.29,2867.07,1628035199999,923743.0849,3830,1323.22,426494.602,0
42,1628035200000,323.3,325.22,320.59,320.96,2942.04,1628049599999,949398.3064,3646,1391.86,449070.1543,0
43,1628049600000,320.96,323.99,320.41,321.61,4133.71,1628063999999,1331506.8791,3753,2556.4,823566.7926,0
44,1628064000000,321.7,324.13,319.72,323.21,4089.47,1628078399999,1315529.5644,4217,2065.18,664841.5776,0
45,1628078400000,323.34,333.8,323.34,332.16,6637.8,1628092799999,2184035.9368,6184,3330.98,1096864.6254,0
46,1628092800000,332.2,335.37,331.12,334.29,6279.83,1628107199999,2095600.2868,5870,3173.57,1059253.0916,0
47,1628107200000,334.32,337.13,333.2,334.82,3241.57,1628121599999,1086975.2259,5171,1528.08,512496.8579,0
48,1628121600000,334.71,336.28,331.1,334.37,3928.47,1628135999999,1309790.3719,6801,1829.91,610059.177,0
49,1628136000000,334.35,334.9,328.1,329.6,5605.97,1628150399999,1861828.7645,6836,3136.53,1042661.4066,0
50,1628150400000,329.55,331.26,323.5,327.22,5622.09,1628164799999,1836405.3187,7399,2917.7,953332.6638,0
51,1628164800000,327.16,332.66,323.5,330.09,11076.84,1628179199999,3640328.5001,11294,4004.99,1315019.3121,0
52,1628179200000,329.88,340.0,329.83,336.78,5978.59,1628193599999,2004491.9252,8280,2859.95,959648.7892,0
53,1628193600000,336.97,339.41,335.2,337.91,5169.34,1628207999999,1746685.7506,7452,2654.31,897366.9327,0
54,1628208000000,337.94,339.4,333.4,333.75,4012.64,1628222399999,1348615.366,8249,2452.78,824339.4975,0
55,1628222400000,333.64,337.4,332.28,335.3,4140.87,1628236799999,1387386.5733,5533,2208.28,739809.9136,0
