,open time,open,high,low,close,volume,close time,quote_asset_volume,number of trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused field
0,1610434800000,36060.5,36060.5,35714.0,35794.4,32.86,1610436599999,1176553.494,214,25.327,906768.392,0
1,1610436600000,35837.0,36615.1,35837.0,36433.4,12.043,1610438399999,437008.2886,128,3.089,112519.4772,0
2,1610438400000,36453.3,36496.1,35813.5,36095.4,16.82,1610440199999,606207.7054,183,9.883,356338.2491,0
3,1610440200000,36070.2,36301.5,35510.8,35778.9,17.373,1610441999999,624189.4237,185,8.583,307955.366,0
4,1610442000000,35787.8,36013.4,35482.2,35829.0,17.032,1610443799999,609068.5675,190,9.796,350333.7711,0
5,1610443800000,35796.5,36130.2,35796.5,35935.4,13.444,1610445599999,483937.4532,140,2.531,91206.2735,0
6,1610445600000,35924.4,36105.7,34859.8,34859.8,14.813,1610447399999,525533.8988,167,9.602,340626.7771,0
7,1610447400000,34942.7,35219.4,34790.7,35061.2,13.788,1610449199999,483115.8705,148,11.498,402853.7919,0
8,1610449200000,35138.1,35766.7,35134.0,35652.4,12.92,1610450999999,458251.8669,142,2.293,81408.2259,0
9,1610451000000,35576.8,35675.3,35160.8,35369.2,14.241,1610452799999,503896.1882,160,4.687,165790.8748,0
10,1610452800000,35350.9,35861.0,35212.2,35230.2,15.344,1610454599999,544354.6134,156,8.807,312762.7353,0
11,1610454600000,35242.4,35248.9,34848.2,34998.1,14.47,1610456399999,506876.0177,178,8.201,287259.5698,0
12,1610456400000,34987.6,35343.1,34361.0,34590.6,16.395,1610458199999,573118.5755,202,6.503,227732.2086,0
13,1610458200000,34586.0,34587.5,33214.4,33214.4,18.105,1610459999999,614434.2018,238,6.347,215216.5872,0
14,1610460000000,33320.2,33980.4,32712.0,32787.8,24.216,1610461799999,812022.6495,276,9.057,303820.3521,0
15,1610461800000,32966.6,33900.0,32520.4,33367.6,31.598,1610463599999,1046861.2198,330,16.834,558748.4872,0
16,1610463600000,33461.0,34269.0,33454.8,34036.5,17.057,1610465399999,577277.48,183,7.509,253739.9832,0
17,1610465400000,34032.4,34152.2,33663.9,33796.1,16.003,1610467199999,542107.9659,201,7.75,262692.3807,0
18,1610467200000,33798.1,34748.8,33798.1,34535.8,14.663,1610468999999,504801.4049,170,8.858,305471.1836,0
19,1610469000000,34529.1,34965.8,34365.0,34936.9,15.139,1610470799999,523966.0236,182,8.819,305142.7374,0
20,1610470800000,34966.6,35301.1,34561.2,34570.3,18.224,1610472599999,636391.9063,218,10.311,360375.8347,0
21,1610470800000,34966.6,35301.1,34561.2,34570.3,18.224,1610472599999,636391.9063,218,10.311,360375.8347,0
22,1610472600000,34626.1,35072.3,34529.2,34973.8,17.563,1610474399999,610960.2117,210,8.519,296062.2486,0
23,1610474400000,34952.9,35506.6,34788.8,35261.8,17.169,1610476199999,603912.8941,198,8.767,308804.2822,0
24,1610476200000,35290.6,35308.7,34813.0,34978.7,15.252,1610477999999,534153.4514,182,5.41,189344.8566,0
25,1610478000000,34998.1,35000.1,34459.3,34513.8,14.555,1610479799999,505579.7048,185,4.375,152225.1092,0
26,1610479800000,34516.2,34798.8,34137.5,34648.8,16.753,1610481599999,577698.189,194,6.318,218413.4692,0
27,1610481600000,34581.7,34628.7,33544.7,34176.5,20.681,1610483399999,706704.3549,234,12.151,415953.7926,0
28,1610483400000,34163.6,34598.5,33695.2,34259.8,20.937,1610485199999,711182.9014,248,14.093,479006.6035,0
29,1610485200000,34212.4,34426.9,33690.6,34071.7,15.803,1610486999999,540700.22,174,9.492,325507.1888,0
30,1610487000000,34060.9,34828.7,33783.1,34661.3,16.704,1610488799999,572238.5474,202,3.74,128317.3508,0
31,1610488800000,34653.5,35180.3,34324.9,34350.5,18.568,1610490599999,644910.7534,206,12.261,425957.373,0
32,1610490600000,34337.1,34576.2,33353.3,33609.2,22.673,1610492399999,768953.7219,334,13.026,442413.6054,0
33,1610492400000,33655.6,33962.9,33272.8,33412.2,16.136,1610494199999,541303.8769,223,8.143,273195.9197,0
34,1610494200000,33313.5,34053.8,33302.0,34021.1,17.581,1610495999999,592160.0467,225,10.493,353619.4195,0
35,1610496000000,33877.8,33878.2,32904.4,33064.0,11.921,1610497799999,398930.6637,155,4.76,159493.1559,0
36,1610497800000,33049.4,33192.0,32346.7,32402.7,19.714,1610499599999,647046.948,252,8.891,291649.4279,0
37,1610499600000,32362.9,33117.8,32362.9,32483.0,18.242,1610501399999,598448.1848,216,9.508,312255.3719,0
38,1610501400000,32550.6,33170.0,32531.5,33070.7,16.924,1610503199999,556919.0178,199,4.791,158036.3958,0
39,1610503200000,33064.1,33466.3,32715.1,32782.1,16.437,1610504999999,545181.4237,196,6.792,225334.7869,0
40,1610505000000,32765.1,33091.3,32542.6,32981.9,16.028,1610506799999,525630.3175,177,6.1,200205.4463,0
41,1610506800000,32987.0,34318.8,32943.1,33888.7,20.326,1610508599999,686764.3794,369,12.788,432224.3946,0
42,1610508600000,33894.4,34034.3,33628.7,33764.7,15.139,1610510399999,511772.1582,198,8.63,291733.2171,0
43,1610510400000,33813.9,33862.8,33380.8,33659.7,15.646,1610512199999,525245.8112,185,5.161,173716.7865,0
44,1610512200000,33704.1,33704.1,33066.9,33126.6,16.664,1610513999999,554947.2756,195,8.412,279968.1396,0
45,1610514000000,33126.6,33477.5,32934.7,32991.2,15.693,1610515799999,521957.044,200,11.08,368797.7672,0
46,1610515800000,33013.6,33269.1,32743.0,33269.1,16.911,1610517599999,558424.5603,241,5.37,177294.454,0
47,1610517600000,33267.0,33832.3,33189.8,33780.9,15.135,1610519399999,507915.4829,197,5.149,173131.2582,0
48,1610519400000,33835.8,34195.6,33604.2,33724.2,14.6,1610521199999,494260.7377,202,7.868,266352.8813,0
49,1610521200000,33762.3,34619.2,33708.3,34570.5,14.416,1610522999999,490216.6638,181,7.572,257548.5055,0
50,1610523000000,34592.4,35116.0,34520.2,34938.4,16.813,1610524799999,585775.5415,214,6.039,210622.63,0
51,1610524800000,34951.6,35014.3,34541.6,34638.4,15.827,1610526599999,549508.6738,211,6.354,220744.0396,0
52,1610524800000,34951.6,35014.3,34541.6,34638.4,15.827,1610526599999,549508.6738,211,6.354,220744.0396,0
53,1610526600000,34608.4,34776.6,34300.0,34504.6,16.588,1610528399999,573367.3117,182,3.471,120151.5342,0
54,1610528400000,34488.9,35054.7,34488.9,34745.0,19.146,1610530199999,666307.344,192,6.963,242137.3508,0
55,1610530200000,34738.4,34756.9,34173.2,34303.4,14.923,1610531999999,514201.3523,228,6.448,221955.892,0
56,1610532000000,34337.8,34890.1,34337.8,34727.9,14.545,1610533799999,504870.8337,224,8.677,301150.836,0
57,1610533800000,34725.7,34980.0,34294.6,34851.2,17.652,1610535599999,611537.3376,207,3.81,132224.3423,0
58,1610535600000,34873.9,34939.2,34414.6,34816.7,17.422,1610537399999,605274.8011,198,9.657,335458.8288,0
59,1610537400000,34824.3,35241.3,34236.1,34312.1,18.164,1610539199999,631353.4446,260,9.632,335280.1351,0
60,1610539200000,34403.6,34460.1,33932.5,34147.3,18.758,1610540999999,640842.8174,305,9.624,329041.4027,0
61,1610541000000,34202.7,34359.9,34187.0,34229.1,13.616,1610542799999,466805.2191,167,8.981,307814.8953,0
62,1610542800000,34229.9,34599.3,33955.2,34518.0,15.729,1610544599999,540604.9936,206,7.152,245575.2635,0
63,1610544600000,34507.9,34732.7,34393.0,34529.1,15.006,1610546399999,518541.6988,196,7.86,271913.465,0
64,1610546400000,34556.4,35052.0,34350.0,34863.2,16.677,1610548199999,577983.961,209,7.487,259464.1099,0
65,1610548200000,34861.3,34861.3,34200.0,34202.8,16.193,1610549999999,561013.0955,201,9.46,327850.7045,0
66,1610550000000,34203.6,34563.0,34184.9,34556.4,13.155,1610551799999,451569.2497,167,6.584,226344.7625,0
