,open time,open,high,low,close,volume,close time,quote_asset_volume,number of trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused field
0,1623814200000,2493.19,2578.98,2142.53,2522.43,187.229,1623815999999,470545.97747,1570,123.982,313331.47185,0
1,1623816000000,2524.21,2524.89,2512.74,2516.95,66.383,1623817799999,167233.47744,714,57.061,143770.36206,0
2,1623817800000,2515.79,2537.51,2515.79,2529.4,60.795,1623819599999,153818.1514,492,45.617,115405.45108,0
3,1623819600000,2528.44,2532.59,2512.46,2515.41,37.792,1623821399999,95325.12176,97,28.062,70735.26326,0
4,1623821400000,2514.42,2525.78,2514.42,2521.82,42.431,1623823199999,106954.55051,88,26.693,67297.3215,0
5,1623823200000,2522.1,2529.4,2517.14,2529.4,69.119,1623824999999,174293.53634,156,50.072,126283.05607,0
6,1623825000000,2529.76,2533.24,2525.01,2531.5,101.212,1623826799999,255917.01479,956,71.237,180167.49146,0
7,1623826800000,2531.91,2550.97,2531.3,2532.8,81.803,1623828599999,207589.8313,284,63.004,159919.33135,0
8,1623828600000,2532.81,2539.3,2527.61,2528.16,82.599,1623830399999,209293.10589,183,57.579,145929.0987,0
9,1623830400000,2527.53,2550.45,2521.34,2523.44,307.51,1623832199999,779617.2085,511,165.922,421503.04154,0
10,1623832200000,2520.69,2526.31,2517.41,2518.89,42.839,1623833999999,107994.49553,125,31.35,79052.18151,0
11,1623834000000,2519.5,2521.02,2510.13,2513.34,42.47,1623835799999,106833.51996,122,23.51,59151.7529,0
12,1623835800000,2513.99,2519.98,2508.12,2508.85,72.328,1623837599999,181858.72187,166,57.393,144320.33022,0
13,1623837600000,2508.84,2514.13,2501.67,2501.67,49.338,1623839399999,123774.05222,154,25.966,65146.03619,0
14,1623839400000,2501.96,2504.91,2480.34,2485.37,112.567,1623841199999,280060.69387,287,43.638,108617.98497,0
15,1623841200000,2485.06,2485.06,2461.11,2467.29,75.723,1623842999999,187188.55933,191,50.487,124790.46511,0
16,1623843000000,2465.17,2466.98,2456.28,2462.38,48.889,1623844799999,120349.32502,130,24.8,61028.90979,0
17,1623844800000,2460.71,2460.71,2441.17,2441.17,94.507,1623846599999,231720.86803,277,49.688,121896.4682,0
18,1623846600000,2441.17,2454.86,2435.08,2448.37,47.089,1623848399999,115210.30866,158,34.301,83930.56936,0
19,1623848400000,2447.41,2464.99,2435.32,2456.17,64.934,1623850199999,158994.97899,300,29.943,73362.81743,0
20,1623850200000,2454.44,2457.8,2445.25,2453.66,44.1,1623851999999,108159.13466,132,32.034,78575.61103,0
21,1623852000000,2453.47,2454.77,2442.23,2443.41,47.484,1623853799999,116237.75617,150,26.713,65419.92247,0
22,1623853800000,2443.71,2451.34,2416.97,2421.92,38.974,1623855599999,94854.51366,208,17.233,41990.92695,0
23,1623855600000,2420.0,2426.8,2405.32,2413.04,49.339,1623857399999,119112.02844,372,22.179,53547.01443,0
24,1623857400000,2411.62,2420.2,2411.51,2417.01,62.722,1623859199999,151519.91758,189,31.019,74933.83105,0
25,1623859200000,2415.5,2441.6,2408.32,2423.0,167.581,1623860999999,406740.37025,457,91.455,221926.78307,0
26,1623861000000,2424.37,2427.5,2385.74,2393.84,132.857,1623862799999,319398.62783,421,44.839,107626.40309,0
27,1623862800000,2393.24,2404.2,2380.0,2400.92,127.866,1623864599999,305917.81702,454,76.317,182562.61283,0
28,1623864600000,2401.45,2426.8,2401.45,2425.88,142.797,1623866399999,344647.72541,322,74.645,180261.57218,0
29,1623866400000,2424.9,2455.82,2358.75,2398.0,592.596,1623868199999,1426703.79694,2545,222.419,537100.70587,0
30,1623868200000,2397.71,2415.6,2393.84,2415.51,53.389,1623869999999,128310.60194,333,36.648,88069.41299,0
31,1623870000000,2415.51,2429.04,2415.44,2427.5,47.438,1623871799999,114832.11857,176,8.592,20822.4001,0
32,1623871800000,2426.8,2426.8,2418.56,2418.56,33.645,1623873599999,81437.7189,122,4.995,12104.47158,0
33,1623873600000,2418.56,2418.56,2402.01,2406.0,76.019,1623875399999,183071.98193,423,53.122,127890.28973,0
34,1623875400000,2405.2,2408.0,2397.21,2399.52,48.111,1623877199999,115522.94629,314,9.099,21870.37689,0
35,1623877200000,2399.52,2408.25,2394.8,2408.24,11.181,1623878999999,26866.69304,183,8.351,20078.3502,0
36,1623879000000,2407.49,2415.59,2405.92,2410.8,53.398,1623880799999,128632.58374,167,18.598,44841.54526,0
37,1623880800000,2410.55,2414.0,2396.73,2396.8,57.28,1623882599999,137791.11279,358,16.007,38521.41544,0
38,1623882600000,2396.87,2399.42,2383.5,2385.36,42.824,1623884399999,102345.56966,501,21.223,50725.17095,0
39,1623884400000,2385.2,2385.2,2347.86,2352.96,173.372,1623886199999,409574.25573,1376,70.096,165659.47768,0
40,1623886200000,2353.6,2367.42,2348.52,2365.41,60.271,1623887999999,142058.84471,456,42.626,100484.25779,0
41,1623888000000,2365.2,2389.13,2355.02,2387.6,81.354,1623889799999,193415.77796,1093,37.841,89932.83788,0
42,1623889800000,2388.05,2397.5,2388.05,2393.2,76.875,1623891599999,183958.66667,783,32.037,76684.1599,0
43,1623891600000,2393.55,2408.0,2389.53,2400.64,57.636,1623893399999,138328.16452,547,28.486,68320.96757,0
44,1623893400000,2401.59,2410.0,2399.81,2410.0,33.472,1623895199999,80530.93618,508,24.045,57859.25489,0
45,1623895200000,2410.0,2426.93,2405.0,2425.2,158.34,1623896999999,382782.5691,1072,91.444,221167.58102,0
46,1623897000000,2425.2,2429.2,2416.1,2416.1,43.907,1623898799999,106344.87383,404,17.814,43142.32448,0
47,1623898800000,2417.0,2435.6,2417.0,2432.0,50.913,1623900599999,123684.2846,839,29.011,70495.04687,0
48,1623900600000,2432.05,2436.98,2427.3,2431.96,34.58,1623902399999,84125.85311,388,16.768,40806.62826,0
49,1623902400000,2432.55,2441.01,2429.53,2434.43,47.453,1623904199999,115615.20048,480,28.666,69838.46464,0
50,1623904200000,2434.89,2440.1,2419.3,2424.46,59.566,1623905999999,144656.52058,382,20.6,50028.79071,0
51,1623906000000,2424.5,2430.12,2411.59,2418.8,77.631,1623907799999,187729.15785,651,40.519,98026.5443,0
52,1623907800000,2418.77,2424.2,2414.28,2414.81,37.525,1623909599999,90768.2445,777,26.784,64790.37748,0
53,1623909600000,2414.81,2438.97,2414.81,2435.63,58.751,1623911399999,142658.23301,1029,31.647,76883.85392,0
54,1623911400000,2436.09,2448.8,2431.32,2445.16,72.646,1623913199999,177183.61978,1863,42.737,104221.18916,0
55,1623913200000,2445.69,2459.45,2442.19,2453.38,92.06,1623914999999,225619.33703,911,58.6,143642.93948,0
56,1623915000000,2453.38,2456.23,2438.0,2438.0,128.109,1623916799999,313753.12045,746,86.974,213073.33283,0
57,1623916800000,2438.28,2446.43,2435.5,2441.83,46.759,1623918599999,114149.97424,609,23.693,57846.29889,0
58,1623918600000,2442.4,2452.25,2425.96,2438.0,107.901,1623920399999,262911.79438,963,58.023,141383.8182,0
59,1623920400000,2437.99,2444.47,2428.24,2434.12,38.281,1623922199999,93191.96876,627,20.276,49374.30827,0
60,1623922200000,2434.42,2446.0,2430.64,2444.98,64.068,1623923999999,156288.42658,663,39.891,97329.89748,0
61,1623924000000,2445.38,2449.65,2439.36,2443.09,53.46,1623925799999,130626.78097,559,33.031,80701.11126,0
62,1623925800000,2442.8,2442.8,2428.64,2429.0,132.035,1623927599999,321412.95083,603,57.044,138850.64268,0
63,1623927600000,2429.13,2439.94,2426.99,2430.8,51.789,1623929399999,125916.70828,476,18.399,44754.35885,0
64,1623929400000,2430.41,2432.0,2421.74,2424.4,65.697,1623931199999,159513.90534,536,20.932,50834.61577,0
65,1623931200000,2424.0,2424.35,2383.89,2390.88,147.6,1623932999999,354257.59553,1472,67.671,162387.12265,0
66,1623933000000,2390.37,2392.9,2379.2,2386.38,129.167,1623934799999,308234.7519,1007,63.818,152354.65391,0
67,1623934800000,2386.8,2391.28,2370.32,2378.4,138.693,1623936599999,329913.14291,939,55.009,130901.80551,0
68,1623936600000,2378.26,2387.6,2373.2,2376.79,60.298,1623938399999,143543.25739,510,29.001,69036.64675,0
69,1623938400000,2375.6,2402.8,2361.53,2400.6,224.892,1623940199999,535240.72306,1735,118.473,282217.55762,0
70,1623940200000,2400.4,2412.42,2388.35,2397.82,190.884,1623941999999,457930.25497,1491,65.317,156751.3744,0
71,1623942000000,2398.8,2405.6,2392.46,2397.67,106.156,1623943799999,254673.14781,919,67.515,162013.53578,0
72,1623943800000,2398.4,2420.0,2398.4,2416.0,122.464,1623945599999,295086.09804,1191,71.718,172823.55514,0
73,1623945600000,2415.2,2423.34,2374.56,2376.8,207.478,1623947399999,496602.30615,2044,77.337,185113.79442,0
74,1623947400000,2376.0,2381.0,2354.0,2362.56,179.144,1623949199999,423819.38207,1633,88.834,210259.16266,0
75,1623949200000,2362.55,2366.0,2310.55,2315.23,405.131,1623950999999,944822.81361,3455,165.812,386644.0549,0
76,1623951000000,2314.8,2331.3,2305.16,2311.8,270.381,1623952799999,626663.16229,2094,135.933,315093.76159,0
77,1623952800000,2312.1,2325.36,2307.68,2319.24,124.082,1623954599999,287580.71868,2015,57.423,133099.99374,0
78,1623954600000,2319.11,2339.0,2309.88,2330.2,224.266,1623956399999,522062.86286,2289,133.377,310641.18102,0
79,1623956400000,2330.03,2338.0,2324.27,2335.7,129.511,1623958199999,301564.16326,1461,47.507,110684.03588,0
80,1623958200000,2335.9,2351.17,2333.0,2338.3,162.37,1623959999999,380385.96969,1539,92.303,216316.28698,0
81,1623960000000,2338.0,2355.1,2318.19,2346.02,236.618,1623961799999,554321.16347,2550,145.248,340599.48257,0
82,1623961800000,2345.8,2348.61,2333.5,2342.2,86.612,1623963599999,202779.86857,1318,49.374,115596.03419,0
83,1623963600000,2341.9,2342.83,2332.71,2340.8,44.661,1623965399999,104379.35182,772,26.654,62296.19668,0
84,1623965400000,2340.7,2347.41,2335.53,2344.2,53.637,1623967199999,125648.44652,623,26.403,61858.80374,0
85,1623967200000,2344.4,2345.4,2335.0,2344.66,74.704,1623968999999,174788.80764,1396,39.69,92906.2097,0
86,1623969000000,2344.68,2360.0,2330.68,2358.57,118.406,1623970799999,277404.47841,1763,56.85,133300.699,0
87,1623970800000,2358.4,2375.6,2354.0,2362.04,139.602,1623972599999,330515.41979,1067,65.539,155211.60408,0
88,1623972600000,2362.05,2377.91,2356.19,2371.38,209.031,1623974399999,495272.99613,1351,106.166,251457.30635,0
89,1623974400000,2371.52,2375.67,2359.44,2364.96,123.872,1623976199999,293388.27286,922,78.651,186311.85314,0
90,1623976200000,2366.0,2368.0,2341.49,2346.9,81.839,1623977999999,192890.44153,1033,25.686,60536.79452,0
91,1623978000000,2347.0,2352.21,2332.95,2332.95,88.877,1623979799999,208338.51261,1067,45.633,107011.56718,0
92,1623979800000,2333.5,2340.0,2319.95,2331.16,175.561,1623981599999,408971.7697,1874,66.418,154765.14657,0
93,1623981600000,2330.8,2330.8,2310.8,2321.7,106.988,1623983399999,248021.71036,2431,55.622,128947.32851,0
94,1623983400000,2321.5,2346.14,2318.59,2339.13,100.463,1623985199999,234792.91895,1425,61.42,143566.61721,0
95,1623985200000,2338.6,2346.84,2332.2,2340.7,85.804,1623986999999,200739.43053,1122,31.632,74024.30204,0
96,1623987000000,2340.4,2351.16,2335.14,2340.26,40.42,1623988799999,94714.40999,677,22.178,51997.27197,0
97,1623988800000,2340.4,2344.22,2335.0,2342.5,39.119,1623990599999,91522.92473,482,14.007,32790.76167,0
98,1623990600000,2342.8,2363.79,2342.8,2357.01,86.659,1623992399999,204032.24476,908,49.109,115611.23365,0
99,1623992400000,2357.5,2363.9,2351.84,2358.55,52.319,1623994199999,123324.80792,670,30.793,72595.10968,0
100,1623994200000,2359.0,2367.82,2331.66,2337.1,120.062,1623995999999,282388.57288,1303,57.412,135197.79814,0
101,1623996000000,2336.8,2341.35,2324.14,2330.5,75.654,1623997799999,176444.21048,1045,33.513,78171.18898,0
102,1623997800000,2330.8,2336.24,2322.0,2324.5,73.718,1623999599999,171642.26945,785,36.171,84211.2889,0
103,1623999600000,2324.56,2339.55,2324.56,2338.9,60.615,1624001399999,141413.97894,761,36.123,84267.87173,0
104,1624001400000,2338.78,2350.0,2334.87,2339.5,94.826,1624003199999,222156.05806,1046,46.586,109192.46134,0
105,1624003200000,2339.2,2355.35,2333.3,2353.03,111.163,1624004999999,260645.99071,1286,68.527,160687.9315,0
106,1624005000000,2353.6,2355.1,2340.82,2342.5,86.654,1624006799999,203431.27046,859,30.296,71168.71799,0
107,1624006800000,2342.8,2347.73,2317.0,2319.6,179.837,1624008599999,418838.984,1392,89.462,208408.81326,0
108,1624008600000,2318.64,2324.61,2290.0,2296.42,422.528,1624010399999,974911.98923,2067,206.861,477401.7017,0
109,1624010400000,2297.0,2315.0,2277.73,2310.72,681.221,1624012199999,1561258.70714,3119,334.979,767982.73734,0
110,1624012200000,2311.38,2331.0,2311.38,2328.4,223.081,1624013999999,518174.85818,1962,100.393,233218.31155,0
111,1624014000000,2328.7,2339.31,2315.56,2315.56,268.33,1624015799999,624878.63783,1529,140.116,326484.37826,0
112,1624015800000,2316.66,2324.22,2308.52,2317.61,209.627,1624017599999,485499.88981,1281,81.593,188975.63448,0
113,1624017600000,2318.59,2324.58,2282.8,2290.45,586.522,1624019399999,1347774.19698,2751,281.202,646155.45623,0
