,open time,open,high,low,close,volume,close time,quote_asset_volume,number of trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused field
0,1656557100000,6.086,6.322,6.076,6.165,8938.0,1656557999999,55340.4837,922,6243.1,38641.3191,0
1,1656558000000,6.188,6.199,6.132,6.158,1625.2,1656558899999,9999.8102,321,812.1,5007.3434,0
2,1656558900000,6.154,6.17,6.135,6.165,1541.9,1656559799999,9484.325,194,1233.0,7582.9986,0
3,1656559800000,6.168,6.191,6.141,6.171,1632.4,1656560699999,10070.4186,154,866.9,5356.8933,0
4,1656560700000,6.168,6.192,6.153,6.187,2736.7,1656561599999,16899.2769,141,1305.6,8066.8991,0
5,1656561600000,6.185,6.266,6.156,6.25,3460.6,1656562499999,21542.2384,171,2313.6,14411.141,0
6,1656562500000,6.25,6.297,6.205,6.208,9989.9,1656563399999,62508.8977,340,5906.1,36975.9853,0
7,1656563400000,6.207,6.22,6.188,6.201,3560.6,1656564299999,22089.2126,144,1784.5,11078.9819,0
8,1656564300000,6.204,6.217,6.131,6.154,1917.9,1656565199999,11863.3238,167,1206.7,7471.6294,0
9,1656565200000,6.161,6.171,6.103,6.11,2309.3,1656566099999,14142.2236,142,708.1,4350.2396,0
10,1656566100000,6.108,6.156,6.101,6.145,2609.9,1656566999999,16009.1049,177,1097.7,6739.5266,0
11,1656567000000,6.15,6.189,6.146,6.149,3065.1,1656567899999,18929.5724,204,1996.5,12339.0417,0
12,1656567900000,6.154,6.182,6.113,6.134,3984.7,1656568799999,24508.1377,209,2395.2,14752.073,0
13,1656568800000,6.134,6.161,6.106,6.123,3931.0,1656569699999,24055.0069,145,751.1,4603.1885,0
14,1656569700000,6.123,6.13,6.088,6.088,6053.8,1656570599999,37062.5127,222,3163.8,19381.074,0
15,1656570600000,6.101,6.101,5.98,6.0,14562.8,1656571499999,87709.6186,400,3524.8,21233.5872,0
16,1656571500000,6.0,6.033,5.99,6.012,4890.4,1656572399999,29408.5471,1043,1726.7,10389.6166,0
17,1656572400000,6.012,6.04,5.999,6.008,2340.3,1656573299999,14098.2474,982,1453.8,8763.7064,0
18,1656573300000,6.007,6.066,5.99,6.036,9613.6,1656574199999,58021.1955,877,8152.0,49233.3247,0
19,1656574200000,6.037,6.037,6.014,6.026,3450.1,1656575099999,20775.947,89,1580.8,9520.2733,0
20,1656575100000,6.027,6.054,6.004,6.037,1765.5,1656575999999,10647.3169,140,1379.7,8326.9929,0
21,1656576000000,6.035,6.037,5.979,6.001,3420.7,1656576899999,20535.7554,1066,2574.6,15458.3386,0
22,1656576900000,6.001,6.019,5.944,6.001,5641.8,1656577799999,33780.8447,1200,1664.8,9986.041,0
23,1656577800000,6.002,6.033,5.979,6.0,4164.1,1656578699999,24973.6193,1130,1854.8,11123.9177,0
24,1656578700000,6.0,6.007,5.951,5.989,3542.5,1656579599999,21198.7458,1144,1502.4,8995.0754,0
25,1656579600000,5.989,6.011,5.89,5.917,8763.0,1656580499999,52057.0431,979,2527.4,15059.0403,0
26,1656580500000,5.914,5.935,5.886,5.897,3213.6,1656581399999,18984.6165,1111,1747.1,10327.9939,0
