,open time,open,high,low,close,volume,close time,quote_asset_volume,number of trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused field
0,1656547200000,6.086,6.322,6.076,6.187,16474.2,1656561599999,101794.3144,1732,10460.7,64655.4535,0
1,1656561600000,6.185,6.297,5.98,6.037,77505.5,1656575999999,473371.1032,5452,39141.1,239570.3821,0
2,1656576000000,6.035,6.037,5.885,5.972,131885.7,1656590399999,785718.1489,17203,69559.6,414560.9696,0
3,1656590400000,5.97,6.172,5.867,6.089,267271.1,1656604799999,1612469.5687,19392,128486.7,776639.6186,0
4,1656604800000,6.089,6.197,5.969,6.036,197821.7,1656619199999,1201689.2846,16171,91100.9,554323.6411,0
5,1656619200000,6.04,6.31,5.902,6.262,182751.4,1656633599999,1112964.4653,17451,104010.6,633655.5474,0
6,1656633600000,6.261,6.421,6.163,6.173,192374.6,1656647999999,1213080.6123,19373,87393.4,552041.09,0
7,1656648000000,6.169,6.184,5.978,6.105,174218.2,1656662399999,1061727.5051,15397,80926.4,493914.4275,0
8,1656662400000,6.105,6.16,5.918,5.995,134038.6,1656676799999,810478.0109,12437,65079.6,393825.5339,0
9,1656676800000,6.0,6.136,5.962,5.993,106357.0,1656691199999,641124.9982,10982,50770.3,306282.6565,0
10,1656691200000,5.991,6.118,5.979,6.103,93654.7,1656705599999,568844.8706,12757,43979.6,267439.7683,0
11,1656705600000,6.105,6.219,6.025,6.062,88408.3,1656719999999,541950.4881,13726,45288.7,277682.7181,0
12,1656720000000,6.063,6.147,5.973,6.004,96397.1,1656734399999,583218.8565,16328,45629.4,276280.4716,0
13,1656734400000,6.004,6.162,5.989,6.101,102611.8,1656748799999,625205.0164,15350,54156.4,330133.1727,0
14,1656748800000,6.101,6.174,6.017,6.13,141594.8,1656763199999,865040.8131,16820,69725.2,426248.7502,0
15,1656763200000,6.13,6.211,6.042,6.101,135795.3,1656777599999,835331.8137,13817,60425.7,371948.5153,0
16,1656777600000,6.101,6.257,6.084,6.184,109105.1,1656791999999,673255.5111,13812,53628.6,331245.0904,0
17,1656792000000,6.184,6.281,6.163,6.215,103929.3,1656806399999,645867.1975,14903,57503.2,357445.7816,0
18,1656806400000,6.21,6.216,6.081,6.142,101611.7,1656820799999,623474.6192,14120,45099.8,276854.161,0
19,1656820800000,6.142,6.205,6.002,6.097,86745.2,1656835199999,529977.6271,11231,40790.5,249423.508,0
20,1656835200000,6.099,6.128,6.02,6.11,70733.8,1656849599999,430774.8725,7110,38559.5,234918.1875,0
21,1656849600000,6.109,6.128,6.011,6.059,84555.1,1656863999999,512314.8625,11863,39452.2,239197.847,0
22,1656864000000,6.064,6.219,6.033,6.194,106967.4,1656878399999,654144.4176,13533,54630.4,334532.1716,0
23,1656878400000,6.194,6.235,6.143,6.208,81420.8,1656892799999,504912.5312,5884,40372.4,250446.3308,0
24,1656892800000,6.216,6.239,6.005,6.023,75063.2,1656907199999,458196.1953,6200,30151.1,183344.9558,0
25,1656907200000,6.023,6.142,6.02,6.087,101325.1,1656921599999,616079.9192,12847,51525.8,313445.5594,0
26,1656921600000,6.082,6.341,6.059,6.328,116911.3,1656935999999,721804.6301,11179,63474.8,392522.3572,0
27,1656936000000,6.33,6.396,6.179,6.258,211006.3,1656950399999,1322745.8154,17847,95382.5,598601.9604,0
28,1656950400000,6.254,6.335,6.229,6.273,143441.4,1656964799999,901150.8862,14678,71522.3,449571.786,0
29,1656964800000,6.273,6.45,6.237,6.422,152378.2,1656979199999,964898.2528,15683,78681.8,498672.5299,0
30,1656979200000,6.422,6.449,6.299,6.412,239816.5,1656993599999,1531394.0947,20531,103318.7,660128.6515,0
31,1656993600000,6.413,6.546,6.361,6.443,170456.3,1657007999999,1101995.6355,14188,79473.8,513773.8186,0
32,1657008000000,6.443,6.45,6.141,6.169,239120.5,1657022399999,1500535.6381,19967,108719.5,682591.2187,0
33,1657022400000,6.168,6.176,6.041,6.135,188145.1,1657036799999,1149896.7336,14568,76702.1,469156.2172,0
34,1657036800000,6.13,6.386,6.098,6.337,195889.0,1657051199999,1215676.9493,12809,104681.0,650535.6528,0
35,1657051200000,6.336,6.435,6.285,6.3,155353.8,1657065599999,988231.8296,12987,79840.6,508138.1433,0
36,1657065600000,6.3,6.398,6.157,6.254,278427.4,1657079999999,1743675.9048,22288,127119.6,797150.6744,0
