,open time,open,high,low,close,volume,close time,quote_asset_volume,number of trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused field
0,1657162800000,49.18,49.96,49.08,49.88,249.35,1657163699999,12391.1859,89,243.85,12118.718,0
1,1657163700000,49.89,49.91,49.84,49.84,9.16,1657164599999,456.7685,15,3.95,197.0598,0
2,1657164600000,49.81,50.03,49.81,50.0,98.52,1657165499999,4923.9608,23,96.52,4824.2208,0
3,1657165500000,49.98,49.98,49.86,49.95,35.87,1657166399999,1790.3429,17,15.76,787.2403,0
4,1657166400000,49.95,50.02,49.85,49.85,188.72,1657167299999,9427.3563,23,186.19,9301.2177,0
5,1657167300000,49.89,49.89,49.81,49.81,15.94,1657168199999,794.3341,20,6.58,328.0605,0
6,1657168200000,49.74,49.87,49.73,49.84,18.95,1657169099999,943.7496,12,1.77,88.1991,0
7,1657169100000,49.87,49.87,49.85,49.85,15.81,1657169999999,788.2638,11,1.38,68.8137,0
8,1657170000000,49.85,50.0,49.85,50.0,66.55,1657170899999,3323.2501,14,63.93,3192.4335,0
9,1657170900000,49.89,49.89,49.89,49.89,0.14,1657171799999,6.9846,1,0.0,0.0,0
10,1657171800000,49.91,50.0,49.91,49.94,74.45,1657172699999,3719.3254,20,58.1,2902.7902,0
11,1657172700000,49.94,49.94,49.83,49.83,32.33,1657173599999,1612.2309,18,1.61,80.2746,0
12,1657173600000,49.83,49.83,49.83,49.83,0.0,1657174499999,0.0,0,0.0,0.0,0
13,1657174500000,49.84,49.86,49.79,49.82,53.3,1657175399999,2656.4378,22,13.14,655.0207,0
14,1657175400000,49.83,49.9,49.75,49.9,156.08,1657176299999,7775.6408,36,40.98,2043.0274,0
15,1657176300000,49.9,49.92,49.78,49.89,73.97,1657177199999,3688.8883,32,39.01,1946.8698,0
16,1657177200000,49.84,49.92,49.81,49.81,38.46,1657178099999,1918.4014,27,34.22,1706.9029,0
17,1657178100000,49.82,49.88,49.82,49.88,2.2,1657178999999,109.6406,3,0.61,30.4268,0
18,1657179000000,49.86,49.99,49.86,49.99,23.1,1657179899999,1154.1869,16,22.8,1139.2019,0
19,1657179900000,50.0,50.06,49.95,49.95,48.91,1657180799999,2444.7131,26,11.46,573.4181,0
20,1657180800000,49.95,50.13,49.95,50.03,84.88,1657181699999,4244.9937,26,17.8,891.4693,0
21,1657181700000,49.98,49.99,49.87,49.95,101.91,1657182599999,5084.3083,18,6.96,347.6135,0
22,1657182600000,50.01,50.05,49.95,49.97,61.08,1657183499999,3054.6271,30,13.14,657.061,0
23,1657183500000,50.03,50.28,50.03,50.26,98.82,1657184399999,4961.4149,50,38.51,1932.5558,0
24,1657184400000,50.3,50.49,50.3,50.41,639.36,1657185299999,32238.1175,86,541.36,27303.8453,0
25,1657185300000,50.39,50.41,50.28,50.32,93.34,1657186199999,4695.9002,50,18.75,944.3454,0
26,1657186200000,50.27,50.38,50.27,50.27,482.67,1657187099999,24289.6598,51,263.45,13265.3119,0
27,1657187100000,50.34,50.42,50.21,50.26,22.97,1657187999999,1157.1398,20,15.03,757.098,0
28,1657188000000,50.23,50.25,50.14,50.24,102.77,1657188899999,5157.087,25,3.04,152.608,0
29,1657188900000,50.15,50.18,50.15,50.18,9.77,1657189799999,490.0982,10,5.26,263.8822,0
30,1657189800000,50.15,50.15,50.12,50.15,16.12,1657190699999,808.0742,8,2.03,101.8045,0
31,1657190700000,50.15,50.16,50.06,50.16,49.37,1657191599999,2474.501,33,16.33,817.9235,0
32,1657191600000,50.17,50.22,50.02,50.12,107.1,1657192499999,5370.5851,37,27.86,1397.4484,0
33,1657192500000,50.11,50.14,49.9,49.91,168.64,1657193399999,8424.2266,37,20.61,1030.8143,0
34,1657193400000,49.89,50.01,49.83,49.83,617.73,1657194299999,30841.046,67,96.23,4810.465,0
35,1657194300000,49.98,50.17,49.95,50.05,611.94,1657195199999,30659.5097,86,534.62,26790.064,0
36,1657195200000,50.08,50.13,50.03,50.13,22.07,1657196099999,1104.7098,15,9.17,459.2233,0
37,1657196100000,50.15,50.37,50.07,50.11,113.38,1657196999999,5696.6706,37,78.18,3929.4732,0
38,1657197000000,50.12,50.12,49.87,50.09,218.05,1657197899999,10894.8898,108,60.44,3019.3434,0
39,1657197900000,50.0,50.11,49.96,50.11,36.87,1657198799999,1845.804,36,16.85,843.2205,0
40,1657198800000,50.02,50.09,49.96,50.08,320.41,1657199699999,16030.2843,67,19.79,989.8402,0
41,1657199700000,50.06,50.06,49.94,49.94,119.74,1657200599999,5985.3623,14,14.68,733.7064,0
