,open time,open,high,low,close,volume,close time,quote_asset_volume,number of trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused field
0,1657152000000,49.18,52.56,49.08,52.09,30739.39,1657238399999,1575699.138,36894,14252.69,730574.8595,0
1,1657238400000,52.11,53.96,50.69,51.26,81482.65,1657324799999,4254923.4206,84183,41936.77,2190682.6653,0
2,1657324800000,51.25,54.75,51.21,54.03,92478.13,1657411199999,4877437.2382,88287,44390.85,2341535.9209,0
3,1657411200000,54.04,55.13,50.61,52.03,163984.98,1657497599999,8757079.1479,69738,80572.59,4310908.912,0
4,1657497600000,52.06,52.23,48.16,48.67,81592.08,1657583999999,4134273.5952,59721,38826.22,1970399.2289,0
5,1657584000000,48.64,49.27,47.17,47.24,48790.78,1657670399999,2355720.7535,28013,24945.95,1205146.3919,0
6,1657670400000,47.24,49.68,46.23,49.52,78561.06,1657756799999,3766391.659,32583,39326.17,1884050.6487,0
7,1657756800000,49.5,51.68,47.91,51.26,73909.42,1657843199999,3646500.9684,68873,35917.35,1773589.452,0
8,1657843200000,51.25,52.7,50.59,51.75,44396.89,1657929599999,2286780.2265,18075,23497.64,1211188.4731,0
9,1657929600000,51.74,55.54,51.0,55.06,52425.95,1658015999999,2786576.5237,19841,27175.93,1445624.7991,0
10,1658016000000,55.04,56.99,54.34,55.72,60624.24,1658102399999,3368500.2927,20489,30494.3,1695869.246,0
11,1658102400000,55.72,59.32,55.18,58.56,83071.71,1658188799999,4773568.5627,25865,40381.16,2321664.4768,0
12,1658188800000,58.54,59.58,55.8,57.88,123724.8,1658275199999,7133706.0315,47622,60709.76,3503497.9404,0
13,1658275200000,57.87,61.71,56.35,57.16,213226.78,1658361599999,12566168.1184,72043,103732.81,6112168.0269,0
14,1658361600000,57.17,58.63,55.12,57.95,141391.21,1658447999999,8034641.3821,69537,68441.44,3890983.1926,0
15,1658448000000,57.95,59.16,55.45,56.03,118280.83,1658534399999,6794635.3724,62629,58204.14,3343945.3391,0
16,1658534400000,56.05,57.22,54.43,56.32,91626.43,1658620799999,5100264.8681,47098,43623.92,2428894.2037,0
17,1658620800000,56.31,59.74,56.31,58.32,116030.2,1658707199999,6742008.7523,60927,59746.71,3471951.8613,0
18,1658707200000,58.33,58.96,53.82,53.92,108254.72,1658793599999,6102895.8,45969,53149.34,2998668.4523,0
19,1658793600000,53.93,54.1,51.91,53.82,72740.82,1658879999999,3859370.964,26562,34545.3,1833503.9438,0
20,1658880000000,53.82,59.04,52.99,58.96,72383.38,1658966399999,4032073.3726,23597,37315.41,2076391.1166,0
21,1658966400000,59.0,64.27,57.87,63.41,118456.58,1659052799999,7232079.9927,51253,62950.44,3842934.9914,0
22,1659052800000,63.41,64.58,59.65,60.61,108458.66,1659139199999,6694752.6674,45361,51810.54,3199234.866,0
23,1659139200000,60.61,64.06,59.9,60.45,142994.2,1659225599999,8832541.2721,58351,70111.9,4334350.602,0
24,1659225600000,60.45,63.06,59.57,59.72,93569.2,1659311999999,5735024.0303,38442,47062.15,2886756.2386,0
25,1659312000000,59.69,60.73,58.21,59.41,76073.56,1659398399999,4514365.7103,36774,37072.05,2201031.4045,0
26,1659398400000,59.41,59.86,56.61,58.0,68372.75,1659484799999,3967647.8496,24847,33285.65,1932503.4563,0
27,1659484800000,58.01,60.13,56.66,57.73,50884.67,1659571199999,2973371.2511,20779,25230.33,1473812.4813,0
28,1659571200000,57.74,60.81,57.59,59.66,69828.25,1659657599999,4128480.213,21947,34872.53,2062727.6805,0
29,1659657600000,59.6,62.52,59.6,62.45,58758.25,1659743999999,3603071.0727,21412,30239.53,1854478.5507,0
30,1659744000000,62.44,62.56,60.44,60.8,47574.64,1659830399999,2920579.7994,16499,22570.26,1386002.0992,0
31,1659830400000,60.8,62.0,59.84,61.09,42391.81,1659916799999,2586214.4532,15040,21445.09,1308696.8559,0
32,1659916800000,61.07,64.11,60.79,62.61,41674.64,1660003199999,2612090.0673,16238,19720.12,1236237.035,0
33,1660003200000,62.59,62.84,58.15,59.14,56223.76,1660089599999,3395343.1492,19267,25821.62,1558690.0783,0
34,1660089600000,59.13,62.29,57.39,61.59,72566.59,1660175999999,4369875.394,26341,33611.91,2022953.6392,0
