,open time,open,high,low,close,volume,close time,quote_asset_volume,number of trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused field
0,1657162800000,49.18,50.03,49.08,49.95,392.9,1657166399999,19562.2581,144,360.08,17927.2389,0
1,1657166400000,49.95,50.02,49.73,49.85,239.42,1657169999999,11953.7038,66,195.92,9786.291,0
2,1657170000000,49.85,50.0,49.83,49.83,173.47,1657173599999,8661.791,53,123.64,6175.4983,0
3,1657173600000,49.84,49.92,49.75,49.89,283.35,1657177199999,14120.9669,90,93.13,4644.9179,0
4,1657177200000,49.84,50.06,49.81,49.95,112.67,1657180799999,5626.942,72,69.09,3449.9497,0
5,1657180800000,49.95,50.28,49.87,50.26,346.69,1657184399999,17345.344,124,76.41,3828.6996,0
6,1657184400000,50.3,50.49,50.21,50.26,1238.34,1657187999999,62380.8173,207,838.59,42270.6006,0
7,1657188000000,50.23,50.25,50.06,50.16,178.03,1657191599999,8929.7604,76,26.66,1336.2182,0
8,1657191600000,50.17,50.22,49.83,50.05,1505.41,1657195199999,75295.3674,227,679.32,34028.7917,0
9,1657195200000,50.08,50.37,49.87,50.11,390.37,1657198799999,19542.0742,196,164.64,8251.2604,0
10,1657198800000,50.02,50.37,49.94,50.34,998.16,1657202399999,49994.0867,229,559.86,28064.7053,0
11,1657202400000,50.35,51.44,50.28,51.17,3212.25,1657205999999,163639.2626,1248,1519.34,77280.5152,0
12,1657206000000,51.17,51.58,51.03,51.12,2811.34,1657209599999,144025.0329,3876,1198.96,61448.1413,0
13,1657209600000,51.12,51.89,51.12,51.62,2540.4,1657213199999,130762.3212,3844,1265.21,65147.8319,0
14,1657213200000,51.62,51.72,51.13,51.24,1802.65,1657216799999,92549.5724,3755,559.08,28713.0581,0
15,1657216800000,51.24,51.91,51.18,51.44,3006.88,1657220399999,154903.5249,3964,1187.38,61219.2564,0
16,1657220400000,51.44,52.07,51.4,52.04,2233.12,1657223999999,115488.1314,4018,810.38,42003.6464,0
17,1657224000000,52.03,52.07,51.5,51.79,1546.68,1657227599999,80039.7496,3412,642.0,33237.9728,0
18,1657227600000,51.79,51.84,51.54,51.83,1455.32,1657231199999,75215.0873,3759,767.52,39676.3936,0
19,1657231200000,51.83,51.91,51.36,51.54,2030.76,1657234799999,104808.332,3525,764.08,39470.6376,0
20,1657234800000,51.54,52.56,51.53,52.09,4241.18,1657238399999,220855.0119,4009,2351.4,122613.2346,0
21,1657238400000,52.11,52.53,51.77,52.46,2479.99,1657241999999,129159.73,3554,1526.48,79561.745,0
22,1657242000000,52.46,53.64,52.26,53.36,5891.5,1657245599999,312605.2182,3890,3810.76,202174.0886,0
23,1657245600000,53.38,53.96,52.96,53.15,4241.06,1657249199999,226452.8371,3681,1859.38,99455.8997,0
24,1657249200000,53.14,53.69,53.02,53.58,3005.04,1657252799999,160545.6707,3462,1182.07,63161.1316,0
25,1657252800000,53.54,53.75,53.26,53.36,2998.8,1657256399999,160347.6249,2802,1481.84,79292.8218,0
26,1657256400000,53.36,53.45,52.54,53.0,3163.39,1657259999999,167967.0159,3006,1135.22,60360.5593,0
27,1657260000000,52.99,53.15,52.63,53.03,1708.64,1657263599999,90402.0385,2593,724.72,38353.2029,0
28,1657263600000,52.99,53.09,52.58,52.81,2685.72,1657267199999,142094.6398,3602,1327.96,70274.8715,0
29,1657267200000,52.81,53.01,51.89,51.92,5048.11,1657270799999,265793.1999,3657,2232.39,117793.7963,0
30,1657270800000,51.92,52.13,51.44,51.87,6651.05,1657274399999,344253.0158,3292,4158.3,215361.3602,0
31,1657274400000,51.87,52.14,51.59,51.66,2189.66,1657277999999,113625.9063,3411,872.0,45302.9072,0
32,1657278000000,51.66,52.07,51.62,51.83,2149.06,1657281599999,111472.8385,3560,1245.8,64643.1327,0
33,1657281600000,51.83,52.17,50.86,51.09,5016.7,1657285199999,257757.4191,4420,2463.66,126682.367,0
34,1657285200000,51.09,51.5,50.69,50.82,3500.93,1657288799999,179116.9059,3806,1360.42,69630.5694,0
35,1657288800000,50.83,52.15,50.7,51.84,4676.78,1657292399999,241103.5089,3989,2952.29,152332.2706,0
36,1657292400000,51.85,52.82,51.79,52.09,4850.31,1657295999999,253216.7268,3431,3355.59,175335.692,0
37,1657296000000,52.08,52.11,51.21,51.45,2818.24,1657299599999,145279.2896,2830,1485.74,76637.3675,0
38,1657299600000,51.51,51.76,51.32,51.6,2126.49,1657303199999,109705.9261,3746,1178.9,60829.4276,0
39,1657303200000,51.6,52.13,51.43,51.7,4266.06,1657306799999,220635.3815,4465,1673.35,86686.1056,0
40,1657306800000,51.69,52.35,51.64,51.91,2731.79,1657310399999,141997.0617,2827,1363.75,70939.1991,0
41,1657310400000,51.92,52.33,51.83,52.02,2402.13,1657313999999,124961.3944,3806,1112.19,57912.2456,0
42,1657314000000,52.02,52.19,51.45,51.56,1945.59,1657317599999,100984.0236,3495,940.08,48854.5867,0
43,1657317600000,51.56,51.88,51.52,51.65,3054.74,1657321199999,158078.391,3894,1495.0,77401.8922,0
44,1657321200000,51.65,52.05,51.05,51.26,1880.87,1657324799999,97367.6564,2964,998.88,51705.4252,0
45,1657324800000,51.25,52.11,51.21,51.51,4721.29,1657328399999,244434.2333,4756,2393.35,124000.6962,0
46,1657328400000,51.5,52.05,51.46,51.6,3215.53,1657331999999,166365.5957,4128,1497.43,77510.6431,0
47,1657332000000,51.58,51.99,51.56,51.81,2087.49,1657335599999,108086.32,3802,962.18,49849.5068,0
48,1657335600000,51.79,51.96,51.45,51.81,2087.84,1657339199999,108077.8903,3897,1104.62,57202.8239,0
49,1657339200000,51.79,51.99,51.65,51.85,1759.59,1657342799999,91133.5562,3438,982.67,50906.9559,0
50,1657342800000,51.85,52.06,51.63,51.96,1992.86,1657346399999,103411.1898,3379,906.04,47031.9774,0
51,1657346400000,51.96,52.3,51.88,52.16,2141.65,1657349999999,111547.3765,3815,1143.62,59582.7076,0
52,1657350000000,52.13,52.44,52.12,52.32,2844.62,1657353599999,148749.7277,4030,1609.56,84200.7356,0
53,1657353600000,52.32,52.45,52.08,52.27,2152.0,1657357199999,112588.7417,3697,1067.41,55866.0785,0
54,1657357200000,52.31,52.38,52.07,52.21,1746.63,1657360799999,91202.158,3357,791.39,41340.5385,0
55,1657360800000,52.21,52.46,52.09,52.34,2055.36,1657364399999,107377.4973,3282,1156.83,60478.1177,0
56,1657364400000,52.34,52.39,51.51,51.62,3913.61,1657367999999,204001.1692,3455,1535.15,80192.2048,0
57,1657368000000,51.62,51.98,51.52,51.85,2386.71,1657371599999,123688.5659,4028,1203.35,62382.0187,0
58,1657371600000,51.85,52.14,51.7,51.91,1750.98,1657375199999,91027.6627,3306,892.68,46434.6208,0
59,1657375200000,51.9,52.31,51.82,52.06,2244.51,1657378799999,117036.495,3786,1019.34,53208.5086,0
60,1657378800000,52.06,52.27,51.93,52.2,2459.55,1657382399999,128223.5362,3343,1362.62,71059.3124,0
61,1657382400000,52.17,52.48,52.1,52.44,1881.87,1657385999999,98414.4783,3163,912.0,47718.3966,0
62,1657386000000,52.44,53.49,52.31,53.44,8535.85,1657389599999,452175.1185,5295,5724.03,303519.9237,0
63,1657389600000,53.44,53.7,53.17,53.29,18619.7,1657393199999,993406.5733,6379,9725.56,519065.4093,0
64,1657393200000,53.27,53.75,53.19,53.28,6066.61,1657396799999,323738.3515,3191,3365.08,179675.3457,0
65,1657396800000,53.28,53.37,53.18,53.27,5985.03,1657400399999,318592.8643,3528,1240.83,66110.4659,0
66,1657400400000,53.27,53.4,53.19,53.25,2983.74,1657403999999,158869.2376,2690,1091.88,58185.8166,0
