,open time,open,high,low,close,volume,close time,quote_asset_volume,number of trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused field
0,1657680300000,0.5285,0.5591,0.5232,0.5475,185685.0,1657681199999,101758.1661,1035,70254.0,38532.5094,0
1,1657681200000,0.5466,0.5477,0.5397,0.546,79009.0,1657682099999,43077.3208,356,45752.0,24971.1273,0
2,1657682100000,0.5458,0.5458,0.5408,0.5412,38900.0,1657682999999,21110.4379,177,11217.0,6096.3899,0
3,1657683000000,0.5411,0.5416,0.5384,0.5391,22059.0,1657683899999,11919.8279,202,9896.0,5346.8029,0
4,1657683900000,0.5383,0.5407,0.5379,0.5396,55040.0,1657684799999,29665.9131,237,43938.0,23686.8906,0
5,1657684800000,0.5404,0.5443,0.5399,0.5433,76049.0,1657685699999,41316.4086,305,59192.0,32175.777,0
6,1657685700000,0.5427,0.5463,0.5426,0.5458,48061.0,1657686599999,26175.0584,250,30816.0,16787.7539,0
7,1657686600000,0.5459,0.5459,0.5425,0.5434,14211.0,1657687499999,7728.5979,128,3919.0,2131.688,0
8,1657687500000,0.5433,0.5457,0.5422,0.5451,18927.0,1657688399999,10305.2378,70,10475.0,5710.0701,0
9,1657688400000,0.546,0.546,0.5422,0.5435,64883.0,1657689299999,35287.2567,242,30757.0,16716.233,0
10,1657689300000,0.5435,0.5489,0.5416,0.5485,133730.0,1657690199999,73081.5208,403,76972.0,42055.629,0
11,1657690200000,0.5484,0.5541,0.5467,0.5516,239045.0,1657691099999,131585.2903,870,113347.0,62379.4527,0
12,1657691100000,0.5515,0.5537,0.5485,0.5492,124991.0,1657691999999,68896.2201,975,59779.0,32988.3874,0
13,1657692000000,0.5492,0.5512,0.5481,0.5488,122663.0,1657692899999,67367.6321,1429,29196.0,16051.3092,0
14,1657692900000,0.5488,0.5489,0.5466,0.5488,161493.0,1657693799999,88404.1409,1366,55489.0,30401.3614,0
15,1657693800000,0.5487,0.5517,0.5478,0.5504,104591.0,1657694699999,57533.5244,1335,48662.0,26785.2914,0
16,1657694700000,0.5504,0.5526,0.5488,0.551,73284.0,1657695599999,40355.478,1144,40322.0,22220.7041,0
17,1657695600000,0.551,0.5574,0.5492,0.55,408007.0,1657696499999,225465.0003,1840,276925.0,153192.3058,0
18,1657696500000,0.55,0.5509,0.5469,0.5483,200559.0,1657697399999,110031.2778,1463,55852.0,30650.0157,0
19,1657697400000,0.5484,0.5568,0.5479,0.5531,227668.0,1657698299999,125746.8151,1520,109856.0,60693.1544,0
20,1657698300000,0.5529,0.5563,0.5518,0.5552,199581.0,1657699199999,110656.0508,1191,85203.0,47248.4662,0
21,1657699200000,0.5552,0.5588,0.5547,0.5556,170827.0,1657700099999,95079.0883,1395,43720.0,24340.4174,0
22,1657700100000,0.5555,0.5591,0.5538,0.5581,121780.0,1657700999999,67808.4492,803,93484.0,52094.2941,0
23,1657701000000,0.5581,0.563,0.5575,0.5601,370356.0,1657701899999,207080.7864,1881,287121.0,160495.2417,0
24,1657701900000,0.5601,0.5609,0.5579,0.5587,93628.0,1657702799999,52384.6077,1095,33084.0,18526.3591,0
25,1657702800000,0.5588,0.5676,0.5569,0.5626,435918.0,1657703699999,245038.116,1813,282806.0,159253.5506,0
26,1657703700000,0.5626,0.564,0.56,0.5617,181469.0,1657704599999,102016.3755,802,82225.0,46264.2824,0
27,1657704600000,0.5617,0.5619,0.5571,0.5572,120755.0,1657705499999,67539.3652,968,63161.0,35322.594,0
28,1657705500000,0.5573,0.5585,0.5557,0.5575,156411.0,1657706399999,87173.3509,1092,76609.0,42735.4922,0
29,1657706400000,0.5575,0.5578,0.5551,0.556,74379.0,1657707299999,41370.2886,743,30279.0,16849.4302,0
30,1657707300000,0.5565,0.5573,0.5535,0.5544,107151.0,1657708199999,59528.1371,884,40676.0,22603.9914,0
31,1657708200000,0.5543,0.5594,0.5535,0.5583,210764.0,1657709099999,117228.6243,843,99118.0,55158.8849,0
32,1657709100000,0.5579,0.5584,0.5557,0.5579,102010.0,1657709999999,56873.9123,714,61791.0,34465.3126,0
33,1657710000000,0.5579,0.559,0.5542,0.5578,101652.0,1657710899999,56652.8457,695,51792.0,28880.1806,0
34,1657710900000,0.5578,0.5589,0.556,0.5582,111343.0,1657711799999,62080.4595,883,75605.0,42166.2806,0
35,1657711800000,0.5582,0.5623,0.5576,0.5595,142449.0,1657712699999,79795.8526,1193,73173.0,41016.1824,0
36,1657712700000,0.5595,0.5621,0.5587,0.5604,91599.0,1657713599999,51348.2905,643,61674.0,34581.1093,0
37,1657713600000,0.5604,0.5646,0.5572,0.5583,228361.0,1657714499999,128283.5913,1123,118930.0,66874.8682,0
38,1657714500000,0.5576,0.5755,0.5542,0.5708,890181.0,1657715399999,503216.8687,3664,498952.0,282522.7216,0
39,1657715400000,0.5715,0.5728,0.5172,0.533,2631176.0,1657716299999,1428722.7704,8491,1049765.0,569276.3847,0
40,1657716300000,0.533,0.5426,0.5275,0.5349,1149656.0,1657717199999,613948.3053,4405,610380.0,326266.0118,0
41,1657717200000,0.5348,0.5371,0.531,0.5321,410190.0,1657718099999,219082.1355,2366,211462.0,112987.1832,0
42,1657718100000,0.5321,0.5333,0.5268,0.5274,316609.0,1657718999999,167852.8736,1609,155099.0,82294.1845,0
43,1657719000000,0.5274,0.541,0.526,0.5366,568868.0,1657719899999,303526.1939,2735,251900.0,134488.9543,0
44,1657719900000,0.5366,0.544,0.536,0.5413,477885.0,1657720799999,258596.1689,2313,262531.0,142133.5392,0
45,1657720800000,0.5414,0.5464,0.5388,0.5418,325526.0,1657721699999,176420.7444,1985,135324.0,73447.9435,0
46,1657721700000,0.5421,0.543,0.5358,0.5383,177255.0,1657722599999,95413.2118,1542,73958.0,39836.468,0
47,1657722600000,0.538,0.5536,0.5367,0.5525,542445.0,1657723499999,296778.1846,3134,350606.0,192069.77,0
48,1657723500000,0.552,0.5578,0.5494,0.5539,543203.0,1657724399999,300553.5779,2933,278397.0,154166.775,0
49,1657724400000,0.5537,0.5593,0.5531,0.5556,430484.0,1657725299999,239466.4406,1832,281531.0,156653.8181,0
50,1657725300000,0.5558,0.5558,0.5486,0.5511,240412.0,1657726199999,132541.8113,757,75829.0,41845.8529,0
51,1657726200000,0.5506,0.5512,0.5471,0.5488,193386.0,1657727099999,106098.1401,760,58533.0,32149.4838,0
52,1657727100000,0.5483,0.5523,0.5462,0.5491,173157.0,1657727999999,95212.9718,1316,92336.0,50801.1026,0
53,1657728000000,0.5491,0.5503,0.5461,0.5474,180084.0,1657728899999,98766.6217,583,85409.0,46850.6426,0
54,1657728900000,0.5468,0.553,0.5451,0.5525,336608.0,1657729799999,184713.6906,1780,211870.0,116264.4116,0
55,1657729800000,0.5525,0.5555,0.5503,0.5555,494444.0,1657730699999,273469.1638,1587,247926.0,137310.6403,0
56,1657730700000,0.5555,0.5588,0.5537,0.5584,283511.0,1657731599999,157717.9833,1033,121720.0,67760.1507,0
57,1657731600000,0.5584,0.5707,0.5575,0.5667,783794.0,1657732499999,442699.5788,2865,434970.0,245758.248,0
58,1657732500000,0.5669,0.5689,0.5631,0.5679,205128.0,1657733399999,116113.1084,837,91854.0,51993.7291,0
59,1657733400000,0.568,0.5735,0.5653,0.5718,288991.0,1657734299999,164277.7882,1339,151863.0,86450.493,0
60,1657734300000,0.572,0.5781,0.57,0.5761,519770.0,1657735199999,299030.1841,1769,264211.0,151910.8618,0
61,1657735200000,0.5763,0.5769,0.5724,0.5762,373134.0,1657736099999,214455.0233,1345,179312.0,103074.8302,0
62,1657736100000,0.5762,0.5763,0.5709,0.5753,222187.0,1657736999999,127458.8596,736,108865.0,62473.8048,0
63,1657737000000,0.5753,0.5775,0.5721,0.5748,220959.0,1657737899999,127109.2887,744,79381.0,45670.1213,0
64,1657737900000,0.5751,0.5874,0.5736,0.5822,817651.0,1657738799999,474332.9735,2320,559557.0,324766.9898,0
65,1657738800000,0.5823,0.5868,0.5785,0.5794,517789.0,1657739699999,301059.9709,1780,178260.0,103767.8848,0
66,1657739700000,0.5795,0.5795,0.5742,0.5761,399644.0,1657740599999,230393.3851,1224,162299.0,93628.508,0
67,1657740600000,0.5764,0.5767,0.5734,0.574,299947.0,1657741499999,172490.9085,1223,109720.0,63151.8124,0
68,1657741500000,0.5739,0.5759,0.5727,0.5747,315740.0,1657742399999,181276.5074,1197,163239.0,93717.6695,0
69,1657742400000,0.5744,0.5775,0.5736,0.5759,132209.0,1657743299999,76089.0391,635,87551.0,50385.6348,0
70,1657743300000,0.5764,0.5788,0.5726,0.574,130834.0,1657744199999,75328.3336,559,81783.0,47128.9529,0
71,1657744200000,0.5734,0.5741,0.5719,0.5735,158120.0,1657745099999,90568.8751,698,66876.0,38317.5636,0
72,1657745100000,0.5735,0.5736,0.5707,0.5726,117537.0,1657745999999,67280.0136,540,68755.0,39369.9914,0
73,1657746000000,0.5722,0.5804,0.5715,0.577,420673.0,1657746899999,242621.7665,1372,252405.0,145717.8209,0
74,1657746900000,0.5765,0.5793,0.5758,0.5782,148573.0,1657747799999,85885.8093,496,103733.0,59999.1008,0
75,1657747800000,0.5785,0.5816,0.5777,0.5812,208058.0,1657748699999,120599.05,526,121288.0,70372.6393,0
76,1657748700000,0.5813,0.5845,0.5793,0.5839,328750.0,1657749599999,191332.5004,1338,164395.0,95735.6254,0
77,1657749600000,0.584,0.5996,0.5828,0.5956,1336988.0,1657750499999,793049.8081,4146,758615.0,450185.9649,0
78,1657750500000,0.5954,0.6032,0.5938,0.5998,595928.0,1657751399999,356770.4125,2569,318498.0,190915.3086,0
79,1657751400000,0.6,0.6037,0.5956,0.5957,421788.0,1657752299999,252771.1059,1422,122486.0,73443.5883,0
80,1657752300000,0.5957,0.6003,0.5955,0.5994,262456.0,1657753199999,157017.5241,1226,152320.0,91180.8662,0
81,1657753200000,0.5995,0.6151,0.5988,0.6134,1022206.0,1657754099999,623344.1048,3347,584103.0,356038.6271,0
82,1657754100000,0.6137,0.6432,0.6136,0.6288,1852651.0,1657754999999,1161171.0739,6520,1060537.0,664429.7653,0
83,1657755000000,0.6288,0.6437,0.6288,0.6378,1265064.0,1657755899999,806050.2551,4521,635951.0,405551.8134,0
84,1657755900000,0.638,0.64,0.632,0.6371,861470.0,1657756799999,547347.5774,3036,489877.0,311262.927,0
85,1657756800000,0.6378,0.6576,0.6342,0.642,1982967.0,1657757699999,1281849.5973,6876,1082574.0,700463.7608,0
86,1657757700000,0.6424,0.6446,0.6366,0.6391,951035.0,1657758599999,609234.7912,3234,481545.0,308610.1585,0
87,1657758600000,0.6391,0.6429,0.6351,0.6397,543769.0,1657759499999,347471.3437,2660,284381.0,181868.6146,0
88,1657759500000,0.6397,0.6448,0.6383,0.6394,612546.0,1657760399999,392982.4579,2448,269088.0,172699.4069,0
89,1657760400000,0.6391,0.6406,0.6289,0.6345,1134076.0,1657761299999,718215.69,3646,481673.0,304978.6599,0
90,1657761300000,0.6341,0.6359,0.6264,0.6288,771558.0,1657762199999,486888.9847,3266,281270.0,177495.4703,0
91,1657762200000,0.6289,0.639,0.6269,0.639,698083.0,1657763099999,441768.3844,2589,405106.0,256534.3981,0
92,1657763100000,0.6386,0.6408,0.6321,0.6366,642946.0,1657763999999,409113.6409,2240,283775.0,180737.3438,0
93,1657764000000,0.6367,0.6384,0.632,0.6325,412600.0,1657764899999,261771.4055,1602,154631.0,98129.3306,0
94,1657764900000,0.6322,0.6386,0.6305,0.6379,347615.0,1657765799999,220644.6644,1570,209570.0,133046.3508,0
95,1657765800000,0.6379,0.649,0.6368,0.6402,1155734.0,1657766699999,743481.3677,4045,658200.0,423450.5195,0
96,1657766700000,0.6402,0.6455,0.6401,0.6444,770662.0,1657767599999,495246.5715,2427,359322.0,230873.3012,0
97,1657767600000,0.6449,0.6526,0.6444,0.6461,909224.0,1657768499999,589498.8863,3380,520836.0,338016.6825,0
98,1657768500000,0.6461,0.65,0.643,0.645,438457.0,1657769399999,283390.4375,1655,206541.0,133624.0861,0
99,1657769400000,0.645,0.6483,0.6421,0.6449,474673.0,1657770299999,306167.2859,1923,247211.0,159586.8426,0
100,1657770300000,0.6452,0.6454,0.6411,0.6425,419964.0,1657771199999,270015.8376,1560,222843.0,143312.616,0
101,1657771200000,0.6425,0.6474,0.6406,0.647,691712.0,1657772099999,445736.4958,4750,470180.0,302989.8218,0
102,1657772100000,0.6471,0.6485,0.6372,0.64,623887.0,1657772999999,400436.878,2382,324014.0,208056.3479,0
103,1657773000000,0.64,0.6457,0.6395,0.644,507373.0,1657773899999,326040.4865,1677,332392.0,213638.9203,0
104,1657773900000,0.6445,0.6482,0.6391,0.641,736362.0,1657774799999,474143.8685,2495,419438.0,270112.0682,0
105,1657774800000,0.6404,0.6447,0.6395,0.6428,561446.0,1657775699999,360840.4528,1827,311866.0,200540.5619,0
106,1657775700000,0.6429,0.654,0.6429,0.6501,1132106.0,1657776599999,734365.6384,3637,743303.0,482338.902,0
107,1657776600000,0.65,0.6517,0.6457,0.6462,769789.0,1657777499999,499399.8362,2073,419331.0,272001.4295,0
108,1657777500000,0.6466,0.647,0.6424,0.6447,1042152.0,1657778399999,671493.9153,2910,644514.0,415350.5627,0
109,1657778400000,0.6449,0.6455,0.6372,0.6382,1084239.0,1657779299999,694736.8418,2955,399978.0,256532.2633,0
110,1657779300000,0.638,0.6384,0.629,0.633,798888.0,1657780199999,506365.7624,3387,274170.0,173960.7137,0
111,1657780200000,0.633,0.6361,0.6283,0.6351,1161011.0,1657781099999,734799.8698,3577,519804.0,329350.2558,0
112,1657781100000,0.6355,0.6388,0.6343,0.6374,464567.0,1657781999999,295859.5203,1612,192078.0,122410.3541,0
113,1657782000000,0.6372,0.6419,0.6324,0.6329,664113.0,1657782899999,421802.7962,2349,323221.0,205563.3625,0
114,1657782900000,0.6332,0.6362,0.6325,0.6335,507688.0,1657783799999,321918.2339,1563,234702.0,148945.3391,0
115,1657783800000,0.6335,0.636,0.6303,0.634,392758.0,1657784699999,248945.1306,1388,237543.0,150630.122,0
116,1657784700000,0.634,0.6356,0.6323,0.6345,275438.0,1657785599999,174656.909,1216,195468.0,123971.0192,0
117,1657785600000,0.6343,0.6372,0.6316,0.6345,701928.0,1657786499999,445056.8317,2554,374558.0,237534.5559,0
118,1657786500000,0.6348,0.635,0.627,0.6282,753761.0,1657787399999,475019.9839,2061,292873.0,184578.5261,0
119,1657787400000,0.6281,0.6286,0.6198,0.6205,1009105.0,1657788299999,630168.9778,3955,415729.0,259757.0306,0
120,1657788300000,0.6204,0.6243,0.6197,0.6221,808600.0,1657789199999,502938.314,3048,358258.0,222870.7917,0
121,1657789200000,0.6215,0.6266,0.621,0.6236,735412.0,1657790099999,458505.8479,2457,465738.0,290463.9014,0
122,1657790100000,0.6241,0.6255,0.6211,0.6212,401031.0,1657790999999,250102.8547,1384,220823.0,137817.8202,0
123,1657791000000,0.621,0.6223,0.6125,0.6175,1188902.0,1657791899999,732731.3918,4327,607683.0,374721.5031,0
124,1657791900000,0.6175,0.6236,0.6175,0.6236,993824.0,1657792799999,616836.9084,3177,642176.0,398742.4453,0
125,1657792800000,0.6233,0.6281,0.6194,0.6237,1041517.0,1657793699999,649446.6674,3315,509429.0,317998.02,0
