,open time,open,high,low,close,volume,close time,quote_asset_volume,number of trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused field
0,1657670400000,0.5285,0.5591,0.5232,0.5396,380693.0,1657684799999,207531.6658,2007,181057.0,98633.7201,0
1,1657684800000,0.5404,0.5574,0.5399,0.5552,2217743.0,1657699199999,1219935.51,14531,1086762.0,598187.5993,0
2,1657699200000,0.5552,0.5676,0.5535,0.5604,2592491.0,1657713599999,1448998.5498,16447,1456318.0,814753.6035,0
3,1657713600000,0.5604,0.5755,0.5172,0.5491,9298794.0,1657727999999,5065713.9901,40965,4505533.0,2457815.0614,0
4,1657728000000,0.5491,0.5874,0.5451,0.5747,6259381.0,1657742399999,3565365.0359,22362,3150456.0,1794550.7979,0
5,1657742400000,0.5744,0.6437,0.5707,0.6371,9263305.0,1657756799999,5647227.2494,32951,5069173.0,3090036.1899,0
6,1657756800000,0.6378,0.6576,0.6264,0.6425,12265909.0,1657771199999,7857741.3465,45121,6148566.0,3943427.5422,0
7,1657771200000,0.6425,0.654,0.6283,0.6345,11413529.0,1657785599999,7311542.6355,39798,6042002.0,3876392.044,0
8,1657785600000,0.6343,0.6372,0.6125,0.6174,12054883.0,1657799999999,7509939.9512,42101,6150300.0,3832098.8549,0
9,1657800000000,0.6171,0.6777,0.6155,0.6726,25265928.0,1657814399999,16241910.6932,87447,14152981.0,9103693.8586,0
10,1657814400000,0.6723,0.7033,0.6632,0.685,23748751.0,1657828799999,16276488.9645,80510,12426043.0,8521986.7119,0
11,1657828800000,0.6851,0.7189,0.679,0.7079,10970195.0,1657843199999,7613722.5697,35954,5880669.0,4085052.4489,0
12,1657843200000,0.7082,0.7336,0.6908,0.708,13433535.0,1657857599999,9525368.3773,43434,6881587.0,4886041.3341,0
13,1657857600000,0.708,0.7105,0.6844,0.6947,7584144.0,1657871999999,5270902.2637,24378,3565378.0,2479487.3806,0
14,1657872000000,0.6944,0.7123,0.6874,0.6878,6785552.0,1657886399999,4746592.5613,23309,3114301.0,2181169.6743,0
15,1657886400000,0.6877,0.7051,0.68,0.6853,11623588.0,1657900799999,8033825.6135,34526,5888255.0,4070828.9377,0
16,1657900800000,0.6853,0.7189,0.6756,0.7167,7839833.0,1657915199999,5444021.5045,20721,4339986.0,3019018.8383,0
17,1657915200000,0.7171,0.7335,0.7016,0.7025,6607988.0,1657929599999,4734138.5971,18335,3299513.0,2366373.196,0
18,1657929600000,0.7027,0.7097,0.6891,0.6965,3867301.0,1657943999999,2698169.9949,10479,1879077.0,1310998.164,0
19,1657944000000,0.6965,0.6971,0.681,0.6848,5903081.0,1657958399999,4063994.3694,17628,3044889.0,2096327.3287,0
20,1657958400000,0.6848,0.6948,0.6835,0.6912,4213481.0,1657972799999,2898612.6219,13561,2356027.0,1620855.9729,0
21,1657972800000,0.6909,0.7168,0.6853,0.7155,8071198.0,1657987199999,5660439.3723,26187,4507121.0,3162045.3486,0
22,1657987200000,0.7156,0.75,0.713,0.7245,12867343.0,1658001599999,9417307.046,42317,6654917.0,4872924.802,0
23,1658001600000,0.7244,0.729,0.7131,0.7286,4265167.0,1658015999999,3074535.8126,17620,2114500.0,1524398.7992,0
24,1658016000000,0.7281,0.7367,0.7174,0.7306,4971862.0,1658030399999,3622432.3261,20984,2727628.0,1987630.8424,0
25,1658030400000,0.7309,0.7825,0.7305,0.7657,11149586.0,1658044799999,8525631.0299,37904,6412933.0,4901866.1388,0
26,1658044800000,0.7652,0.7738,0.7502,0.7666,7060335.0,1658059199999,5378044.0428,27236,3318724.0,2529412.7158,0
27,1658059200000,0.7665,0.7896,0.7548,0.7595,10724536.0,1658073599999,8269147.7226,38893,5477785.0,4230540.4784,0
28,1658073600000,0.7589,0.7748,0.7398,0.7697,9511346.0,1658087999999,7202839.1582,34116,4753332.0,3602553.1489,0
29,1658088000000,0.7697,0.7745,0.7501,0.7518,5379365.0,1658102399999,4113291.6565,21668,2662698.0,2037167.7354,0
30,1658102400000,0.7525,0.807,0.744,0.795,10011085.0,1658116799999,7787078.4543,39745,5630803.0,4384795.2794,0
31,1658116800000,0.7949,0.9191,0.791,0.8996,31268001.0,1658131199999,27226684.7288,111154,16985287.0,14780968.0407,0
32,1658131200000,0.8991,0.9334,0.8843,0.9029,21137060.0,1658145599999,19164434.8805,78364,10840764.0,9830420.9603,0
33,1658145600000,0.9031,0.98,0.8868,0.9719,22628142.0,1658159999999,20959462.572,77608,12109143.0,11239352.6113,0
34,1658160000000,0.9718,0.9843,0.8807,0.9015,27177827.0,1658174399999,25252872.9219,82283,13022090.0,12098225.9008,0
35,1658174400000,0.9016,0.9677,0.8872,0.958,17000684.0,1658188799999,15723347.5863,47948,8655661.0,8005637.548,0
36,1658188800000,0.958,0.9786,0.8995,0.9051,18177471.0,1658203199999,16941050.331,46586,8896421.0,8296462.0391,0
37,1658203200000,0.9053,0.9234,0.8824,0.8873,8443954.0,1658217599999,7623183.0282,20830,4149675.0,3747250.0545,0
38,1658217600000,0.8871,0.9387,0.8844,0.9232,8284797.0,1658231999999,7554852.187,20691,4380272.0,3996485.7068,0
39,1658232000000,0.924,0.9461,0.8982,0.917,10762199.0,1658246399999,9911113.7481,27516,5040686.0,4646321.3278,0
40,1658246400000,0.9167,0.9431,0.91,0.9216,8625108.0,1658260799999,7990054.7231,20930,4302179.0,3988424.3632,0
41,1658260800000,0.9223,0.9492,0.9165,0.925,8656601.0,1658275199999,8057599.1964,17644,4369454.0,4068795.1994,0
42,1658275200000,0.9248,0.9528,0.8943,0.9383,11903381.0,1658289599999,10990704.6394,23631,5776349.0,5338986.0113,0
43,1658289600000,0.9385,0.9491,0.9131,0.9171,6552236.0,1658303999999,6126004.4046,12980,2972172.0,2779738.1028,0
44,1658304000000,0.9162,0.9376,0.8986,0.919,10171782.0,1658318399999,9327752.6508,20393,4750937.0,4356654.9824,0
45,1658318400000,0.9191,0.9295,0.903,0.909,9906883.0,1658332799999,9072048.9406,22392,5156266.0,4724985.8001,0
46,1658332800000,0.909,0.9108,0.8402,0.8436,20957298.0,1658347199999,18093174.8175,42389,9848929.0,8494225.733,0
47,1658347200000,0.8433,0.8563,0.8107,0.8312,17248374.0,1658361599999,14348185.1023,35583,8521595.0,7094355.3003,0
48,1658361600000,0.831,0.8475,0.8018,0.8048,10324531.0,1658375999999,8516967.9626,22150,4987535.0,4116828.1779,0
49,1658376000000,0.8047,0.8784,0.7952,0.8675,13520596.0,1658390399999,11335521.9761,24550,6856020.0,5753355.0722,0
50,1658390400000,0.8675,0.8929,0.8552,0.867,14914305.0,1658404799999,13019382.3314,32594,7662787.0,6693865.6193,0
51,1658404800000,0.867,0.8877,0.8503,0.8774,14997079.0,1658419199999,13092509.941,32024,7363447.0,6430734.5238,0
52,1658419200000,0.8774,0.9282,0.8762,0.9063,16157138.0,1658433599999,14634077.8484,32962,8746314.0,7920524.4253,0
53,1658433600000,0.9066,0.9145,0.8857,0.9053,7916487.0,1658447999999,7138365.8395,17538,3998475.0,3607526.9508,0
54,1658448000000,0.9055,0.9347,0.8964,0.9009,9044510.0,1658462399999,8261058.6269,21862,4569333.0,4176382.6083,0
55,1658462400000,0.9008,0.9192,0.8875,0.9037,7618341.0,1658476799999,6878968.0243,15373,3931575.0,3551951.6873,0
56,1658476800000,0.9041,0.9233,0.8981,0.9122,7098654.0,1658491199999,6474030.8045,15742,3747533.0,3417459.6375,0
57,1658491200000,0.9121,0.9122,0.8601,0.8641,13061542.0,1658505599999,11525822.8682,26507,5833967.0,5147307.1814,0
58,1658505600000,0.8637,0.8795,0.8433,0.847,9174325.0,1658519999999,7921429.5283,19668,4469118.0,3860939.7289,0
59,1658520000000,0.8471,0.8648,0.8453,0.8501,6149256.0,1658534399999,5256828.5312,13725,3064132.0,2619746.8671,0
60,1658534400000,0.85,0.8767,0.836,0.8659,5976288.0,1658548799999,5137452.6754,15621,2701103.0,2321258.5922,0
61,1658548800000,0.8662,0.8834,0.8595,0.8635,4467226.0,1658563199999,3896262.9751,11233,2148413.0,1875307.9201,0
62,1658563200000,0.8634,0.8694,0.8218,0.8258,8292841.0,1658577599999,6990397.2347,17198,3755050.0,3167699.0241,0
63,1658577600000,0.8258,0.8485,0.8196,0.8399,6462039.0,1658591999999,5402650.5881,13301,3160336.0,2642961.9267,0
64,1658592000000,0.8397,0.8454,0.8136,0.8334,5914586.0,1658606399999,4891864.1347,11708,3154981.0,2609751.4571,0
65,1658606400000,0.8332,0.8876,0.8325,0.8709,6843022.0,1658620799999,5872102.2367,13612,3872516.0,3323222.031,0
66,1658620800000,0.8708,0.8839,0.8454,0.8473,4484587.0,1658635199999,3869757.5901,10194,2198354.0,1897453.6962,0
67,1658635200000,0.8473,0.8854,0.8458,0.8712,4903341.0,1658649599999,4272094.5129,10619,2609987.0,2273452.0457,0
68,1658649600000,0.8714,0.879,0.8544,0.8714,6655778.0,1658663999999,5772124.8171,12130,3323617.0,2883742.1726,0
69,1658664000000,0.8717,0.8962,0.8569,0.8886,6683102.0,1658678399999,5849640.9983,15030,3386446.0,2966434.6486,0
70,1658678400000,0.8887,0.8918,0.871,0.8758,3993709.0,1658692799999,3516484.6822,9340,2021789.0,1780581.6849,0
71,1658692800000,0.8757,0.9086,0.8751,0.8792,7073665.0,1658707199999,6294832.4889,14505,3641708.0,3242737.6891,0
72,1658707200000,0.8793,0.8846,0.8252,0.8353,11572881.0,1658721599999,9823890.7532,22704,5631960.0,4780399.3687,0
