,open time,open,high,low,close,volume,close time,quote_asset_volume,number of trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused field
0,1630641600000,133.432,135.718,133.165,134.71,689.0,1630643399999,92257.731,505,573.0,76690.171,0
1,1630643400000,134.798,135.679,133.169,135.591,1176.0,1630645199999,158339.778,448,623.0,83973.973,0
2,1630645200000,135.751,138.445,134.923,137.996,1086.0,1630646999999,148975.504,366,803.0,110315.361,0
3,1630647000000,137.635,140.652,136.284,138.985,4329.0,1630648799999,599689.745,1132,2335.0,324219.782,0
4,1630648800000,138.904,143.275,136.0,142.292,10946.0,1630650599999,1540203.179,2123,5329.0,752397.052,0
5,1630650600000,142.241,143.908,140.802,142.205,5269.0,1630652399999,750400.611,1399,3163.0,450780.448,0
6,1630652400000,142.183,144.909,141.0,144.342,8727.0,1630654199999,1250791.578,1574,4147.0,595011.393,0
7,1630654200000,144.105,147.822,143.695,144.615,9996.0,1630655999999,1452055.877,1537,4953.0,719822.278,0
8,1630656000000,144.71,145.29,141.589,141.934,13104.0,1630657799999,1881128.241,2099,4615.0,664470.891,0
9,1630657800000,141.751,143.195,140.463,141.465,9767.0,1630659599999,1384250.413,1691,4454.0,631578.489,0
10,1630659600000,141.475,144.807,141.475,143.3,11431.0,1630661399999,1636745.299,1783,5678.0,813173.566,0
11,1630661400000,143.282,144.026,142.701,143.16,4384.0,1630663199999,628279.704,799,2166.0,310472.761,0
12,1630663200000,143.316,144.026,141.673,143.593,6277.0,1630664999999,896473.913,988,3175.0,453319.771,0
13,1630665000000,143.703,143.948,140.5,141.618,13961.0,1630666799999,1987378.655,2064,6061.0,863776.51,0
14,1630666800000,141.699,141.832,136.5,137.39,16408.0,1630668599999,2269911.449,2808,5912.0,818905.571,0
15,1630668600000,137.547,139.914,137.547,139.616,9393.0,1630670399999,1304322.46,1617,5732.0,796841.96,0
16,1630670400000,139.639,139.903,138.08,138.949,7169.0,1630672199999,996060.671,1330,3247.0,451337.894,0
