,open time,open,high,low,close,volume,close time,quote_asset_volume,number of trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused field
0,1628479800000,0.7654,0.7833,0.7642,0.7778,31019.2,1628481599999,24051.67579,651,23309.9,18082.61079,0
1,1628481600000,0.7779,0.7847,0.7757,0.7809,39083.7,1628483399999,30461.72608,866,26594.1,20751.57812,0
2,1628483400000,0.7809,0.8051,0.7801,0.7932,35084.4,1628485199999,27768.3476,527,16053.3,12684.27328,0
3,1628485200000,0.793,0.7961,0.7909,0.7917,21228.9,1628486999999,16853.82054,546,6111.1,4852.76766,0
4,1628487000000,0.7918,0.7927,0.783,0.7883,11436.7,1628488799999,9014.30629,418,2484.7,1958.95438,0
5,1628488800000,0.7883,0.7922,0.7807,0.7843,19765.4,1628490599999,15531.00437,770,7021.1,5524.91741,0
6,1628490600000,0.7842,0.7889,0.7841,0.7874,13200.6,1628492399999,10392.91161,621,8744.2,6888.88617,0
7,1628492400000,0.7875,0.7934,0.7851,0.7888,34121.8,1628494199999,26966.09327,626,14866.1,11756.32117,0
8,1628494200000,0.7885,0.8002,0.7878,0.7984,25842.5,1628495999999,20536.19619,412,19446.6,15459.98633,0
9,1628496000000,0.7984,0.7985,0.7905,0.7918,33671.5,1628497799999,26709.62204,578,16309.6,12940.39206,0
10,1628497800000,0.7918,0.7993,0.7918,0.7987,23662.2,1628499599999,18838.41286,378,20716.3,16489.31495,0
11,1628499600000,0.7985,0.81,0.7963,0.8047,42366.5,1628501399999,34100.14752,392,29429.5,23685.72568,0
12,1628501400000,0.8054,0.8108,0.8023,0.8093,41541.6,1628503199999,33481.49303,281,14664.1,11840.95614,0
13,1628503200000,0.8103,0.8144,0.8072,0.8073,57472.8,1628504999999,46610.82767,373,30624.8,24857.34488,0
14,1628505000000,0.8076,0.8189,0.8076,0.8172,39502.5,1628506799999,32161.27697,323,23171.7,18862.09517,0
15,1628506800000,0.818,0.821,0.815,0.8169,59882.4,1628508599999,49015.16242,434,29671.6,24318.81503,0
