,open time,open,high,low,close,volume,close time,quote_asset_volume,number of trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,unused field
0,1628467200000,0.7654,0.7833,0.7642,0.7778,31019.2,1628481599999,24051.67579,651,23309.9,18082.61079,0
1,1628481600000,0.7779,0.8051,0.7757,0.7984,199764.0,1628495999999,157524.40595,4786,101321.2,79877.68452,0
2,1628496000000,0.7984,0.8212,0.7905,0.8205,338062.4,1628510399999,273620.52526,3106,189384.9,153293.00822,0
3,1628510400000,0.8208,0.8255,0.8082,0.8184,476745.6,1628524799999,389504.67059,4334,280530.3,229365.48993,0
4,1628524800000,0.819,0.8284,0.8116,0.8157,251617.5,1628539199999,206265.02345,2999,134393.2,110258.86292,0
5,1628539200000,0.8159,0.8225,0.7964,0.8178,349742.5,1628553599999,283664.73273,2970,194564.5,157996.69562,0
6,1628553600000,0.8172,0.8231,0.8037,0.8046,249882.8,1628567999999,202578.41111,2711,106178.1,86123.91129,0
7,1628568000000,0.8046,0.8204,0.8007,0.8191,341866.1,1628582399999,277924.3392,3050,183230.4,148788.77217,0
8,1628582400000,0.819,0.822,0.8066,0.8153,374851.7,1628596799999,305515.04042,2780,214552.7,174862.78135,0
9,1628596800000,0.8149,0.8577,0.8117,0.8248,1077147.2,1628611199999,902014.05794,5758,571901.3,479242.96605,0
10,1628611200000,0.825,0.839,0.8102,0.8363,608697.0,1628625599999,500404.49811,3892,320143.0,263343.42892,0
11,1628625600000,0.8363,0.8629,0.8321,0.852,683602.3,1628639999999,581370.93905,3960,312225.9,265606.79346,0
12,1628640000000,0.8519,0.882,0.8492,0.8762,872742.7,1628654399999,759621.02037,3334,469435.2,408727.63141,0
13,1628654400000,0.8767,0.9029,0.8733,0.8952,755216.7,1628668799999,672531.80185,3230,379826.5,338298.80962,0
14,1628668800000,0.8954,0.9006,0.8811,0.8857,845326.8,1628683199999,753435.25086,3788,306267.0,273253.63321,0
15,1628683200000,0.8856,0.9489,0.8761,0.9372,2186643.0,1628697599999,2006036.28466,5970,1279348.9,1173036.49365,0
16,1628697600000,0.9375,1.094,0.9333,1.0641,3898721.5,1628711999999,3876822.87191,8979,2228247.4,2217697.45796,0
17,1628712000000,1.0643,1.0648,0.9877,1.0131,6990213.8,1628726399999,7156383.41835,11554,3365509.6,3443874.4626,0
18,1628726400000,1.012,1.0486,0.995,1.022,3080172.9,1628740799999,3165673.93991,5200,1598024.2,1642060.38721,0
19,1628740800000,1.0235,1.028,0.9521,1.016,2715500.9,1628755199999,2694471.14877,5792,1287301.0,1280507.91992,0
20,1628755200000,1.0159,1.0234,0.9781,0.9808,2408804.9,1628769599999,2418901.00799,7678,1091389.4,1097540.00224,0
21,1628769600000,0.9805,0.9867,0.936,0.9507,3941173.9,1628783999999,3783876.30321,10170,1934027.4,1856479.23589,0
22,1628784000000,0.9507,0.9755,0.9246,0.9666,2259230.8,1628798399999,2152557.31147,6639,1121638.4,1069930.97183,0
23,1628798400000,0.9668,0.9736,0.9227,0.9666,2287320.1,1628812799999,2179805.59938,5978,1101643.9,1051870.36476,0
24,1628812800000,0.9667,1.0067,0.9516,0.9921,1493058.6,1628827199999,1460766.24426,4073,722451.9,706831.83334,0
25,1628827200000,0.9927,1.0496,0.9789,1.042,1947847.8,1628841599999,1984031.6025,5821,737222.4,749493.75985,0
26,1628841600000,1.0428,1.0559,1.022,1.0224,2509684.5,1628855999999,2609246.47635,5989,1098888.7,1143303.96684,0
27,1628856000000,1.0228,1.044,0.9969,1.0131,3861517.4,1628870399999,3969769.26824,7448,1880339.3,1933099.74323,0
28,1628870400000,1.012,1.0388,1.0092,1.0189,3495540.5,1628884799999,3588304.37796,6623,1701569.6,1746802.50127,0
29,1628884800000,1.019,1.0981,1.0165,1.0901,3848430.8,1628899199999,4069689.01055,8019,1989261.1,2102016.1081,0
30,1628899200000,1.0917,1.1113,1.0708,1.089,1764335.3,1628913599999,1922575.84591,4449,770277.4,839523.39906,0
31,1628913600000,1.0887,1.1917,1.0799,1.1776,3556167.9,1628927999999,4076461.59926,6735,1876298.2,2152782.18754,0
32,1628928000000,1.1783,1.1949,1.1005,1.1546,5155366.5,1628942399999,5914780.80694,11777,2361961.3,2710644.44604,0
33,1628942400000,1.154,1.2295,1.1326,1.2132,5651800.0,1628956799999,6673793.09754,10665,2666731.2,3154561.8966,0
34,1628956800000,1.214,1.257,1.2025,1.2339,4074283.0,1628971199999,5001238.63993,8874,1879046.6,2305726.6032,0
35,1628971200000,1.2348,1.3123,1.1816,1.2812,5429123.4,1628985599999,6858977.28199,11447,2573814.5,3259976.84344,0
36,1628985600000,1.2808,1.35,1.2671,1.3046,5125760.9,1628999999999,6730195.70904,13437,2066947.8,2717677.34066,0
37,1629000000000,1.3049,1.3464,1.228,1.2496,6189499.8,1629014399999,8034299.8991,17206,2744239.1,3565363.97205,0
38,1629014400000,1.2501,1.3235,1.2413,1.2837,5853766.8,1629028799999,7517189.97104,15147,3019714.4,3880015.29567,0
39,1629028800000,1.2825,1.2919,1.2343,1.2675,4074614.8,1629043199999,5161860.72809,12465,1843099.0,2337220.28516,0
40,1629043200000,1.2679,1.2978,1.2426,1.2888,2386594.4,1629057599999,3032626.25725,8527,1182022.4,1504261.52522,0
41,1629057600000,1.2892,1.3155,1.2719,1.2854,2192079.0,1629071999999,2841802.40734,8296,1066611.5,1383648.30748,0
42,1629072000000,1.2857,1.3316,1.2607,1.2791,2851496.5,1629086399999,3701529.07524,9437,1413933.1,1836474.58508,0
43,1629086400000,1.2797,1.31,1.2797,1.2944,2607819.4,1629100799999,3378736.70147,8235,1347314.5,1746088.07918,0
44,1629100800000,1.2938,1.2971,1.2581,1.2885,2961991.0,1629115199999,3798661.76033,9521,1394198.1,1789275.89279,0
45,1629115200000,1.2888,1.2896,1.2069,1.2421,3560864.1,1629129599999,4432070.72247,12593,1466876.4,1826617.60836,0
